station_id,station_name,as_of,status_updated_at,status_observed_at,status_age_minutes,observation_age_minutes,freshness_flag,lat,lng,total_chargers,available_count,observed_count,observation_coverage,observed_available,static_candidate_ready,recheck_required,availability_guaranteed,data_quality_flags,request_vehicle_model,request_current_soc_percent,request_eta_minutes,request_route_distance_km,arrival_soc_percent,soc_risk_level,is_operating_now,schema_version
ME19C404,무학산공원,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:08:49.999999998+00:00,2026-07-28 07:12:12.000000001+00:00,34.88822236666667,31.5215557,CHECK_REQUIRED,35.834083,128.62975,4,2,3,0.75,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19D114,장군졸음쉼터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:34.999999999+00:00,2026-07-28 07:32:16.999999998+00:00,17.138222366666664,11.438222366666668,CHECK_REQUIRED,36.1361114,128.580242,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19D216,관사정문 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:33+00:00,2026-07-28 07:32:16.999999998+00:00,14.1715557,11.438222366666668,AGING,35.90203809,128.67347406,2,2,2,1.0,True,True,False,False,AGING,,,,,,,Y,station_feature_v1
ME19E138,우보면사무소 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:25:36+00:00,2026-07-28 07:32:16.999999998+00:00,18.1215557,11.438222366666668,CHECK_REQUIRED,36.194544,128.661596,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19E139,장곡휴양림 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:45+00:00,2026-07-28 07:32:16.999999998+00:00,13.9715557,11.438222366666668,AGING,36.1298268,128.8352604,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME19E161,범어2동 행정복지센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:19.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,15.388222366666668,11.438222366666668,CHECK_REQUIRED,35.862038,128.631209,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19E215,월광수변공원,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:02:25.000000002+00:00,2026-07-28 07:12:12.000000001+00:00,41.30488903333333,31.5215557,CHECK_REQUIRED,35.805949368,128.54760518,2,1,1,0.5,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19E216,달성군청,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:02:31.999999998+00:00,2026-07-28 07:12:12.000000001+00:00,41.188222366666665,31.5215557,CHECK_REQUIRED,35.77556,128.432063,2,1,1,0.5,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19E217,수성생활체육공원,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:24:28.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,19.238222366666665,11.438222366666668,CHECK_REQUIRED,35.8186,128.6354,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19F260,아미산 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:02:13.999999998+00:00,2026-07-28 07:12:12.000000001+00:00,41.48822236666667,31.5215557,CHECK_REQUIRED,36.1687232,128.8379913,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
