statId,statNm,lat,lng,available_count,total_chargers,availability_ratio_observed,reliability_grade,reliability_grade_effective,observation_age_minutes,as_of_ts,recommend_public_default,parking_is_mock,traffic_is_mock
ME18C229,군위(춘천) 휴게소,36.264836,128.576084,2,2,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C230,군위국민체육센터 주차장,36.237,128.573,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C251,삼국유사 군위(서울) 휴게소,36.07904,128.697565,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C254,대구 문화예술회관,35.84432655,128.56020707,2,2,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C255,달서별빛캠프 캠핑장,35.824056,128.55675,2,2,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C257,논공(대구) 휴게소,35.764417,128.402159,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C258,해안동 공영주차장,35.895994,128.584206,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C259,율암동 공영주차장,35.880036,128.701384,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C260,연암공원,35.899973,128.604496,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C261,중앙119 구조본부,35.665818708,128.39136796,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C262,비슬산 숲속 캠핑장,35.691775371,128.50952414,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C263,달성문화원,35.698719064,128.45146032,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C264,북구구민 운동장,35.94571,128.573823,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C265,서재문화체육센터,35.884605,128.504816,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME18C405,대구광역시청 별관,35.891,128.601,4,4,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19C130,소보면사무소 주차장,36.255139,128.475417,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19C143,달성군 보건소,35.691944,128.446389,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19C227,현풍백년도깨비시장 공영주차장,35.6949127,128.4407276,0,2,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME19C289,군위군 종합운동장,36.2465,128.55675,0,2,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME19C403,칠곡3지구 공영주차장,35.942111,128.566139,3,4,1.0,CHECK_REQUIRED,CHECK_REQUIRED,80.1,2026-08-09T07:23:21+09:00,True,False,False
ME19C404,무학산공원,35.834083,128.62975,4,4,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19D114,장군졸음쉼터,36.1361114,128.580242,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19D216,관사정문 주차장,35.90203809,128.67347406,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19E138,우보면사무소 주차장,36.194544,128.661596,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19E139,장곡휴양림 주차장,36.1298268,128.8352604,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19E161,범어2동 행정복지센터,35.862038,128.631209,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19E215,월광수변공원,35.805949368,128.54760518,0,2,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME19E216,달성군청,35.77556,128.432063,0,2,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME19E217,수성생활체육공원,35.8186,128.6354,2,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,50.06666666666667,2026-08-09T07:23:21+09:00,True,False,False
ME19F260,아미산 주차장,36.1687232,128.8379913,1,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,80.1,2026-08-09T07:23:21+09:00,True,False,False
ME19F410,위천수변 테마공원,36.1765379,128.5843985,4,4,1.0,CHECK_REQUIRED,CHECK_REQUIRED,80.1,2026-08-09T07:23:21+09:00,True,False,False
ME19F412,물산업클러스터,35.645238359,128.41948475,4,4,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
