station_id_daegu,station_name_daegu,lat,lng,statId,statNm,distance_m,radius_m,matched
DAGU0051,(RS)대구시_반야월공영주차장,35.87235125,128.7020741,CV003116,대구시_반야월공영주차장,0.0,80.0,True
DAGU0052,(RS)대구시_대구상공회의소,35.871083,128.624964,CV003071,대구시_대구상공회의소,0.0,80.0,True
DAGU0053,(RS)대구시_해안동행복복지센터,35.882082,128.671682,CV003079,대구시_해안동행복복지센터,0.0,80.0,True
DAGU0054,(RS)대구시_구암동 행정복지센터,35.938936,128.566052,CV003075,대구시_구암동행정복지센터,0.0,80.0,True
DAGU0055,(RS)대구시_대구부광교회,35.921688,128.54947,CV003136,대구시_대구부광교회,0.0,80.0,True
DAGU0056,(RS)대구시_대구은행 제2본점영업부,35.884442,128.588217,CV003134,대구시_대구은행 제2본점영업부,0.0,80.0,True
DAGU0057,(RS)대구시_유니버시아드 레포츠센터,35.927965,128.597938,CV003088,대구시_유니버시아드 레포츠센터,0.0,80.0,True
DAGU0058,(RS)대구시_한국도로공사 칠곡영업소,35.93452,128.539332,CV003063,대구시_한국도로공사 칠곡영업소,0.0,80.0,True
DAGU0059,(RS)대구시_서대구산업단지근로자복지회관,35.868472,128.544749,CV003105,대구시_서대구산업단지근로자복지회관,0.0,80.0,True
DAGU0060,(RS)대구시_DGB대구은행 시지지점,35.840143,128.706152,CV003077,대구시_DGB대구은행 시지지점,0.0,80.0,True
DAGU0061,(RS)대구시_DGB대구은행 파동지점,35.825977,128.609883,CV003076,대구시_DGB대구은행 파동지점,0.0,80.0,True
DAGU0062,(RS)대구시_대구명복공원,35.8575333,128.6585246,CV003072,대구시_대구명복공원,0.0,80.0,True
DAGU0063,(RS)대구시_지산공영주차장,35.820922,128.637602,CV003085,대구시_지산공영주차장,0.0,80.0,True
DAGU0064,(RS)대구시_파동교네거리주차장,35.81121139,128.6217825,CV003064,대구시_파동교네거리주차장,0.0,80.0,True
DAGU0065,(RS)대구시_외곽순환도로 칠곡졸음쉼터,35.905106,128.478921,,,,80.0,False
