statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,remaining_spaces,total_spaces,occupancy_rate,congestion_status,has_realtime,parking_lat,parking_lng,parking_source
PIH00496,청구청룡맨션아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH00515,일반상가,150-1-000124,명륜로28길 노상무료,166.6,1000.0,True,,,,,False,35.858496,128.597718,team5_pis
PIH00516,에이디오에스오피스텔,153-1-000107,현충로26길,203.1,1000.0,True,,,,,False,35.843835,128.58479,team5_pis
PIH00517,아도스하우스주택,153-2-000016,봉명 공영주차장,97.9,1000.0,True,,,,,False,35.845521,128.59577,team5_pis
PIH00518,홈빌리지,153-1-000097,중앙대로22길,70.6,1000.0,True,,,,,False,35.843027,128.594504,team5_pis
PIH00519,어반하우스빌,154-1-000124,대현남로9길,120.0,1000.0,True,,,,,False,35.882714,128.607062,team5_pis
PIH00520,칸타빌주택,153-2-000063,임시 공영주차장,790.5,1000.0,True,,,,,False,35.832363,128.60458,team5_pis
PIH00522,코아루파크뷰오피스텔,151-2-000005,혁신도시 공영주차장,172.9,1000.0,True,83,175,52.57,보통(점유 70%미만),True,35.878961,128.73476,team5_pis
PIH00556,삼일병원,153-2-000023,관문시장 제2공영유료주차장,477.6,1000.0,True,,,,,False,35.833863,128.558586,team5_pis
PIH00573,침산태왕아너스로뎀오피스텔,154-1-000205,옥산로,252.1,1000.0,True,,,,,False,35.88391,128.587166,team5_pis
PIH00639,상인은행아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH00640,논공평광행복타운아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH00672,대구 남리 논공우방연합타운아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH00737,디어반메가시티오피스텔,151-2-000005,혁신도시 공영주차장,364.3,1000.0,True,83,175,52.57,보통(점유 70%미만),True,35.878961,128.73476,team5_pis
PIH00752,대구 침산동 대한동아침산2차무지개아파트,154-1-000251,침산2차동아무지개아파트동측,150.9,1000.0,True,,,,,False,35.886516,128.591273,team5_pis
PIH00783,쓰리에이치,151-2-000102,각산동 1020 공한지 주차장,652.4,1000.0,True,,,,,False,35.891054812,128.708561256,team5_pis
PIH00787,쓰리에이치,151-2-000012,율암동 공영주차장,577.5,1000.0,True,,,,,False,35.879976,128.70133,team5_pis
PIH00945,대구역센트럴자이아파트,150-1-000132,서성로20길 노상무료,186.3,1000.0,True,,,,,False,35.874802,128.589443,team5_pis
PIH00946,대구 침산동 침산동코오롱하늘채아파트,154-1-000251,침산2차동아무지개아파트동측,157.2,1000.0,True,,,,,False,35.886516,128.591273,team5_pis
PIH00983,명곡미래빌2단지아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH01030,한국폴리텍대학대구캠퍼스,152-1-000136,폴리텍6대학 주변,204.9,1000.0,True,,,,,False,35.872382,128.553882,team5_pis
PIH01159,대곡가톨릭요양원,,,,1000.0,False,,,,,False,,,team5_pis
PIH01160,대명카톨릭요양원,153-1-000045,두류공원로 (3),108.8,1000.0,True,,,,,False,35.845854,128.568185,team5_pis
PIH01164,빌리언웨스턴호텔,,,,1000.0,False,,,,,False,,,team5_pis
PIH01168,상인화성파크드림1단지아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH01181,대구 신천동 아보스개발낭만,151-1-000028,동부로30길 (3),55.2,1000.0,True,,,,,False,35.869653,128.62828,team5_pis
PIH01276,대구 산격동 유통단지산업용재관상가,154-1-000152,북구산격동1485도로(2),452.1,1000.0,True,,,,,False,35.900648,128.606915,team5_pis
PIH01358,월성동서타운아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH01486,3D융합기술지원센터,151-2-000005,혁신도시 공영주차장,202.3,1000.0,True,83,175,52.57,보통(점유 70%미만),True,35.878961,128.73476,team5_pis
PIH01543,우방앨리시온아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH01544,주택,152-1-000119,통학로 50길,204.6,1000.0,True,,,,,False,35.883145,128.566491,team5_pis
PIH01545,방촌청구제네스아파트,151-1-000054,리첼아파트 앞,149.0,1000.0,True,,,,,False,35.879141,128.667413,team5_pis
PIH01572,서밋모텔,151-1-000148,팔공2차보성타운 앞,427.3,1000.0,True,,,,,False,35.941134,128.641339,team5_pis
PIH01594,야모텔,151-1-000171,화랑로39길 (1),108.8,1000.0,True,,,,,False,35.880843,128.645209,team5_pis
PIH01595,리더스모텔,151-1-000143,중앙고속 차고지 앞 주차장,53.5,1000.0,True,,,,,False,35.872243,128.627935,team5_pis
PIH01599,명성장,154-1-000259,침산로40길,311.2,1000.0,True,,,,,False,35.893898,128.590243,team5_pis
PIH01600,앤시스,152-1-000093,슈퍼섬유융합소재센터 남측,70.7,1000.0,True,,,,,False,35.867179,128.545246,team5_pis
PIH01629,정우빌,,,,1000.0,False,,,,,False,,,team5_pis
PIH01649,올드로드,,,,1000.0,False,,,,,False,,,team5_pis
