layer,radius_m,reason,statId,statNm
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C265,서재문화체육센터
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C130,소보면사무소 주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C143,달성군 보건소
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C227,현풍백년도깨비시장 공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C289,군위군 종합운동장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C403,칠곡3지구 공영주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C404,무학산공원
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19D114,장군졸음쉼터
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19D216,관사정문 주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19E138,우보면사무소 주차장
tour_api,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19E139,장곡휴양림 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME178137,군위영천휴게소(하행)
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME181302,대구지방합동청사
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME181303,㈜정방
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183053,달서구 청소년수련관공영주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183054,구지면사무소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183055,수태골 공영주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183060,대구환경공단 신천사업소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183062,호산공영주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183067,팔달신시장공영주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183070,블루핸즈 현풍현대서비스
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183077,호텔아젤리아
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183144,대구환경공단 달성사업소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C147,삼국유사 가온누리
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C177,낙동강 레포츠밸리
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C229,군위(춘천) 휴게소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C230,군위국민체육센터 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C251,삼국유사 군위(서울) 휴게소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C257,논공(대구) 휴게소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C261,중앙119 구조본부
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C262,비슬산 숲속 캠핑장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C263,달성문화원
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C130,소보면사무소 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C143,달성군 보건소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C227,현풍백년도깨비시장 공영주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C289,군위군 종합운동장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19D114,장군졸음쉼터
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19D216,관사정문 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19E138,우보면사무소 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19E139,장곡휴양림 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19E216,달성군청
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19F260,아미산 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19F410,위천수변 테마공원
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19F412,물산업클러스터
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19W401,국가물산업클러스터 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19X413,도림사 주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C182,두류1·2동1공영주차장
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C186,논공읍행정복지센터
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C187,달성군보건소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C189,한국사학진흥재단
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C285,달성습지생태학습관
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C286,읍내동 행정복지센터
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C287,한국도로공사 북대구영업소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C304,대구경북첨단의료산업진흥재단
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C414,낙동강물환경연구소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20D206,한국산업기술평가관리원
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21A140,한국국토정보공사 군위지사
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21A903,논공(대구) 휴게소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21A910,논공(광주) 휴게소
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21B1D2,소방장비관리센터
walk_parks,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21B262,군위(춘천) 휴게소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME178137,군위영천휴게소(하행)
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME181303,㈜정방
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183053,달서구 청소년수련관공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183059,복현2동주민센터
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183062,호산공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183064,서촌공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183066,서변2공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183067,팔달신시장공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183068,범물공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME183144,대구환경공단 달성사업소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME184070,시지근린공원 공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C171,노원동행정복지센터
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C173,침산공원
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C177,낙동강 레포츠밸리
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C178,안심2동 공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C229,군위(춘천) 휴게소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C251,삼국유사 군위(서울) 휴게소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C255,달서별빛캠프 캠핑장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C257,논공(대구) 휴게소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C258,해안동 공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C259,율암동 공영주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C261,중앙119 구조본부
