layer,radius_m,reason,poi_id,name
city_tour,,NO_COORDINATES,CITYTOUR-0037,남산동 가톨릭타운
city_tour,,NO_COORDINATES,CITYTOUR-0038,남지장사
city_tour,,NO_COORDINATES,CITYTOUR-0039,노사평화의 전당
city_tour,,NO_COORDINATES,CITYTOUR-0040,노태우 전대통령 생가
city_tour,,NO_COORDINATES,CITYTOUR-0041,녹동서원
city_tour,,NO_COORDINATES,CITYTOUR-0042,녹동서원 충절관
city_tour,,NO_COORDINATES,CITYTOUR-0043,달성공원
city_tour,,NO_COORDINATES,CITYTOUR-0044,달성습지
city_tour,,NO_COORDINATES,CITYTOUR-0045,대구 근대골목
city_tour,,NO_COORDINATES,CITYTOUR-0046,대구 아쿠아리움
city_tour,,NO_COORDINATES,CITYTOUR-0047,대구 제일교회 기독교 역사관
city_tour,,NO_COORDINATES,CITYTOUR-0048,대구간송미술관
city_tour,,NO_COORDINATES,CITYTOUR-0049,대구공항 면세점
city_tour,,NO_COORDINATES,CITYTOUR-0050,대구관광정보센터 특산물전시 판매장
city_tour,,NO_COORDINATES,CITYTOUR-0051,대구교육대학교 교육박물관
city_tour,,NO_COORDINATES,CITYTOUR-0052,대구국제사격장(사격체험)
city_tour,,NO_COORDINATES,CITYTOUR-0053,대구근대역사관
city_tour,,NO_COORDINATES,CITYTOUR-0054,대구기업명품관
city_tour,,NO_COORDINATES,CITYTOUR-0055,대구도동 측백나무숲
city_tour,,NO_COORDINATES,CITYTOUR-0056,대구무형유산전수교육관
city_tour,,NO_COORDINATES,CITYTOUR-0057,대구문학관 / 향촌문화관
city_tour,,NO_COORDINATES,CITYTOUR-0058,대구문화예술회관
city_tour,,NO_COORDINATES,CITYTOUR-0059,대구미술관
city_tour,,NO_COORDINATES,CITYTOUR-0060,대구미술광장
city_tour,,NO_COORDINATES,CITYTOUR-0061,대구방짜유기박물관
city_tour,,NO_COORDINATES,CITYTOUR-0062,대구삼성라이온즈파크
city_tour,,NO_COORDINATES,CITYTOUR-0063,대구수목원
city_tour,,NO_COORDINATES,CITYTOUR-0064,대구스타디움
city_tour,,NO_COORDINATES,CITYTOUR-0065,대구스포츠 기념관
city_tour,,NO_COORDINATES,CITYTOUR-0066,대구시민안전테마파크
city_tour,,NO_COORDINATES,CITYTOUR-0067,대구신세계백화점
city_tour,,NO_COORDINATES,CITYTOUR-0068,대구약령시 한방의료체험타운
city_tour,,NO_COORDINATES,CITYTOUR-0069,대구예술발전소
city_tour,,NO_COORDINATES,CITYTOUR-0070,대구오페라하우스
city_tour,,NO_COORDINATES,CITYTOUR-0071,대구올레 팔공산 1코스
city_tour,,NO_COORDINATES,CITYTOUR-0072,대구전시컨벤션센터(EXCO)
city_tour,,NO_COORDINATES,CITYTOUR-0073,대구종합유통단지
city_tour,,NO_COORDINATES,CITYTOUR-0074,대구콘서트하우스
city_tour,,NO_COORDINATES,CITYTOUR-0075,대구향교
city_tour,,NO_COORDINATES,CITYTOUR-0076,대구환경공단
city_tour,,NO_COORDINATES,CITYTOUR-0077,대덕문화전당
city_tour,,NO_COORDINATES,CITYTOUR-0078,대명공연거리
city_tour,,NO_COORDINATES,CITYTOUR-0079,대율리 송림
city_tour,,NO_COORDINATES,CITYTOUR-0080,대한수목원
city_tour,,NO_COORDINATES,CITYTOUR-0081,도동서원
city_tour,,NO_COORDINATES,CITYTOUR-0082,도성암
city_tour,,NO_COORDINATES,CITYTOUR-0083,동구 공예 전시장
city_tour,,NO_COORDINATES,CITYTOUR-0084,동무생각 노래비
city_tour,,NO_COORDINATES,CITYTOUR-0085,동산계곡
city_tour,,NO_COORDINATES,CITYTOUR-0086,동산의료원 의료선교 박물관
city_tour,,NO_COORDINATES,CITYTOUR-0087,동성로
city_tour,,NO_COORDINATES,CITYTOUR-0088,동성로 스파크
city_tour,,NO_COORDINATES,CITYTOUR-0089,동촌유원지
city_tour,,NO_COORDINATES,CITYTOUR-0090,동화사
city_tour,,NO_COORDINATES,CITYTOUR-0091,동화사 다도체험
city_tour,,NO_COORDINATES,CITYTOUR-0092,동화사 템플스테이 체험
city_tour,,NO_COORDINATES,CITYTOUR-0093,두류공원
city_tour,,NO_COORDINATES,CITYTOUR-0094,들안길 먹거리타운
city_tour,,NO_COORDINATES,CITYTOUR-0095,땅땅랜드(치킨체험 테마파크)
