statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,traffic_source
ME24B142,성서운동장,L93171039525,[공사] 성서동로 가야유치원 에서 이곡동1255 방향 1차로 도로공사 주의운전,932.0,1000,True,utic
ME24B143,장기공원 주차장,,,,1000,False,utic
ME24B144,효령면행정복지센터,,,,1000,False,utic
ME24B207,대구경북지방중소벤처기업청 청사,L93171039525,[공사] 성서동로 가야유치원 에서 이곡동1255 방향 1차로 도로공사 주의운전,492.6,1000,True,utic
ME24B208,한국수자원공사 달성보,,,,1000,False,utic
ME25C165,군위농산물 푸드유통센터,,,,1000,False,utic
ME25C166,농기계사업소 동부분소,,,,1000,False,utic
ME25C167,학산공원 삼거리 주차장,,,,1000,False,utic
ME25C168,E-share 대구샘기억학교,,,,1000,False,utic
ME25C169,E-share 덕수복지재단 미소마을,,,,1000,False,utic
ME25C170,신서혁신도시 나불지 공영주차장 2,,,,1000,False,utic
ME25C171,동촌유원지 3 공영주차장 2,,,,1000,False,utic
ME25C172,E-share 대불노인복지관,,,,1000,False,utic
ME25C173,산격4동 공영주차장,,,,1000,False,utic
ME25C276,전망대주차장,,,,1000,False,utic
ME25C277,수밭근린공원 주차장,,,,1000,False,utic
ME25C278,국립대구박물관(북문 주차장) (2),,,,1000,False,utic
ME25C425,달성군 보건소 주차장,,,,1000,False,utic
ME25C426,신서혁신도시 나불지 공영주차장 1,,,,1000,False,utic
ME25C427,동촌유원지 3 공영주차장 1,,,,1000,False,utic
ME25C428,국립대구박물관(북문 주차장) (1),,,,1000,False,utic
AH000019,대구 KC타운,,,,1000,False,utic
AH000052,대구 산격보성아파트 (대성),,,,1000,False,utic
AH000082,대구 CTR모빌리티,,,,1000,False,utic
ALAL0013,대영빌딩,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,401.5,1000,True,utic
AM900026,대구 동천동 세븐밸리 충전소,,,,1000,False,utic
AM900047,대구 와이즈빌딩,,,,1000,False,utic
AM900048,대구 와이즈빌딩 급속충전소,,,,1000,False,utic
AZ100007,이고,,,,1000,False,utic
AZ100013,대청초등학교,,,,1000,False,utic
AZ100014,밴앤포스,,,,1000,False,utic
AZ100017,대구세강병원,,,,1000,False,utic
AZ100019,지피에스,,,,1000,False,utic
AZ100020,올인워크,,,,1000,False,utic
AZ100021,KB차차차 동대구,,,,1000,False,utic
AZ100022,모빌리티기술혁신센터,,,,1000,False,utic
AZ100023,비에스타워,,,,1000,False,utic
BE241230,워터 군위휴게소 부산방향,,,,1000,False,utic
BE241250,워터 현풍휴게소 대구방향,,,,1000,False,utic
BE241251,워터 현풍휴게소 창원방향,,,,1000,False,utic
BE482306,워터 대구 반월당,,,,1000,False,utic
BNBN0053,대구 달성군 한국기계연구원,,,,1000,False,utic
BNBN0494,달성군 테크노스포츠센터,,,,1000,False,utic
BNBN0583,대구 군위고등학교,,,,1000,False,utic
BNBN0584,대구 경일여자고등학교,,,,1000,False,utic
BNBN0585,대구 새본리중학교,,,,1000,False,utic
