statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
CV001122,시설공단대구_신기 공영주차장,,,,1000,False
CV001123,시설공단대구_호림1 공영주차장,,,,1000,False
CV001124,시설공단대구_호림2 공영주차장,,,,1000,False
CV001126,시설공단대구_본리2 공영주차장,,,,1000,False
CV001127,시설공단대구_서변1 공영주차장,,,,1000,False
CV001129,시설공단대구_갓바위3 공영주차장,,,,1000,False
CV001130,제봉뜰 두류봉제 지식산업센터,128627,이월드,382.0,1000,True
CV001171,대구시_서대구역(남측) 주차장,,,,1000,False
CV001208,대구상수도사업본부 달서사업소,1610420,금용사(대구),841.8,1000,True
CV001219,(주)금오모빌리티,,,,1000,False
CV001221,엑스코 제2전시장,,,,1000,False
CV001223,JB관광호텔,,,,1000,False
CV001234,내당1동 행정복지센터,2366466,ë°ê³ ê° ë¬´ì¹¨í ê³¨ëª©,570.8,1000,True
CV001241,시설공단대구_어린이회관 공영주차장,2742469,대구어린이대공원,182.4,1000,True
CV001242,시설공단대구_달서대로 공영주차장,,,,1000,False
CV001264,케이스식자재마트,,,,1000,False
CV001297,(주)젠텍스,,,,1000,False
CV001308,카페스톤 팔공산점,,,,1000,False
CV001314,노사평화의전당,,,,1000,False
CV001316,관문시장제1공영주차장,,,,1000,False
CV001318,강당골공영주차장,2478972,공룡공원,545.7,1000,True
CV001323,롯데렌탈 동대구점,2742496,동대구역광장,195.2,1000,True
CV001343,서대구제일교회,,,,1000,False
CV001354,다사문양리마을공동주차장,,,,1000,False
CV001396,대구테크노파크 대구벤처센터,2457312,대구경북디자인진흥원,156.2,1000,True
CV001397,대구테크노파크 신기술산업지원센터,,,,1000,False
CV001398,대구테크노파크 벤처공장,,,,1000,False
CV001426,경운대학교 대구교육관,,,,1000,False
CV001441,호텔인터불고대구 파크빌리지주차장,1115515,ëêµ¬ ê³ ëª¨ë ¹ë¹,293.9,1000,True
CV001462,아이빌,,,,1000,False
CV001464,시민생활스포츠센터,,,,1000,False
CV001488,대덕문화전당 주차장,2611146,앞산카페거리,484.9,1000,True
CV001489,대구출판산업지원센터,,,,1000,False
CV001490,대구오페라하우스,,,,1000,False
CV001491,대구스마트시티센터,,,,1000,False
CV001492,대구소프트웨어고등학교,,,,1000,False
CV001493,대구달서구 청소년수련관 공영주차장,,,,1000,False
CV001494,대구 월광주차장,,,,1000,False
CV001495,달성군민체육관,,,,1000,False
CV001496,달서아트센터,,,,1000,False
CV001525,옥녀공원,,,,1000,False
CV001529,빌리브스카이아파트,,,,1000,False
CV001534,비슬산자연휴양림 공영주차장,,,,1000,False
CV001544,대구육상진흥센터,,,,1000,False
CV001545,달성1차산업단지관리공단 주차장,,,,1000,False
CV001555,화원명곡체육공원주차장,,,,1000,False
CV001562,한국도로교통공단 대구교통방송,2611146,앞산카페거리,848.9,1000,True
CV001564,용산환승공영주차장,,,,1000,False
CV001566,불로다목적운동장 주차장,,,,1000,False
CV001580,대구북구청소년회관주차장,,,,1000,False
CV001581,서변2공영주차장,,,,1000,False
CV001589,팔달공영주차장,,,,1000,False
CV001590,팔공산자연공원(동치골주차장),,,,1000,False
CV001592,칠성공영주차장,1960611,동인동 찜갈비 골목,650.7,1000,True
CV001594,지산공영주차장,,,,1000,False
CV001595,중리시영2차아파트,1118418,감삼못공원,892.5,1000,True
CV001600,명문덴탈,,,,1000,False
CV001601,두류공원4공영주차장(두류테니스장 맞은편),1610420,금용사(대구),664.4,1000,True
CV001604,대구시_염색공단제3공영주차장,,,,1000,False
CV001605,대구시_염색공단제2공영주차장,,,,1000,False
CV001606,대구시_염색공단제1공영주차장,,,,1000,False
CV001619,동구보건소,975899,대구 구 동촌역사,259.6,1000,True
CV001623,달서교하부공영주차장,,,,1000,False
CV001626,화원시장공영주차장,,,,1000,False
CV001627,호산공영주차장,,,,1000,False
CV001631,용산2공영주차장,,,,1000,False
CV001632,신매3공영주차장,,,,1000,False
CV001634,본리1공영주차장,,,,1000,False
CV001635,대구월곡공영주차장,,,,1000,False
CV001636,대구시각장애인복지관,,,,1000,False
CV001637,달성군노인복지관,,,,1000,False
CV001638,달구벌재활스포츠센터,,,,1000,False
CV001646,대구광역시립남부도서관,2751285,충혼탑,258.5,1000,True
CV001678,월광수변공원주차장,,,,1000,False
CV001687,연암공원 남편주차장,2770621,향사례 대구시민단,135.4,1000,True
CV001701,범어공영주차장,,,,1000,False
CV001706,현풍백년도깨비시장 공영주차장,,,,1000,False
CV001707,침산공원 주차장,2770591,오봉오감,208.6,1000,True
CV001710,용산1공영주차장,,,,1000,False
CV001719,관음제1공영주차장,,,,1000,False
CV001732,칠곡우방타운아파트,,,,1000,False
CV001735,장기주공아파트,,,,1000,False
CV001743,시지천마타운아파트,,,,1000,False
CV001767,대구문화예술회관,2751543,성당못,156.8,1000,True
CV001768,달성종합스포츠파크,,,,1000,False
CV001779,화원자연휴양림,,,,1000,False
CV001788,시지노인전문병원,,,,1000,False
CV001793,평리청구타운아파트,1118418,감삼못공원,666.6,1000,True
CV001795,태전우방타운3차아파트,,,,1000,False
CV001802,옥포지구서한이다음아파트,,,,1000,False
CV001836,범어역우방유쉘아파트,,,,1000,False
CV001851,대구서구문화회관,,,,1000,False
CV001885,호림1공영주차장,,,,1000,False
