statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
ME20C287,한국도로공사 북대구영업소,,,,1000,False
ME20C288,한국도로공사 서대구영업소,27170-00005,가르뱅이공원,336.8,1000,True
ME20C304,대구경북첨단의료산업진흥재단,,,,1000,False
ME20C414,낙동강물환경연구소,,,,1000,False
ME20D206,한국산업기술평가관리원,,,,1000,False
ME21A140,한국국토정보공사 군위지사,,,,1000,False
ME21A903,논공(대구) 휴게소,,,,1000,False
ME21A910,논공(광주) 휴게소,,,,1000,False
ME21B130,대구강북경찰서,27230-00008,함지공원,303.1,1000,True
ME21B198,대구수성경찰서,27260-00073,야시골공원,625.1,1000,True
ME21B1D2,소방장비관리센터,,,,1000,False
ME21B262,군위(춘천) 휴게소,,,,1000,False
ME21B301,한국산업단지공단 대구지역본부,27290-00001,갈산공원,562.0,1000,True
ME21C219,근로복지공단 대구병원,,,,1000,False
ME21C228,대구성서경찰서,27290-00029,이곡생수공원,492.2,1000,True
ME21E401,낙동강 물환경연구소,,,,1000,False
ME22C189,군위경찰서,,,,1000,False
ME22C193,군위군노인복지관,,,,1000,False
ME22C1A1,대구달서경찰서,27290-00026,월성공원,122.3,1000,True
ME22C1A2,대구재활센터,,,,1000,False
ME22C1A3,비원노인복지관,,,,1000,False
ME22C1A4,달성군종합사회복지관,,,,1000,False
ME22C250,논공(대구)휴게소(5번국도),,,,1000,False
ME22C251,대구동부경찰서,,,,1000,False
ME22C252,대구남부경찰서,27200-00002,대명2공원,271.9,1000,True
ME22C253,한국산업인력공단 대구지역본부,27290-00001,갈산공원,553.7,1000,True
ME22D191,복현지구대,27140-00001,신암공원,697.5,1000,True
ME22D192,대곡파출소,27290-00005,한실공원,208.2,1000,True
ME22D1C0,강북지구대,27230-00008,함지공원,177.1,1000,True
ME22D245,군위전통시장 주차타워,,,,1000,False
ME22D254,화원파출소,,,,1000,False
ME23A218,대구지방기상청,27140-00002,망우당공원,328.8,1000,True
ME23B113,군위군청,,,,1000,False
ME23B114,대구광역시교통연수원,27260-00083,무학산공원,753.7,1000,True
ME23B115,남구시니어행복센터,27290-00179,두류공원,792.5,1000,True
ME23B186,망우당공원 택시쉼터,27140-00002,망우당공원,108.8,1000,True
ME24A243,대구광역시 군위군청,,,,1000,False
