statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
CV001297,151-2-000031,,,
CV001314,157-1-000002,,,
CV001316,153-2-000024,,,
CV001318,153-2-000033,,,
CV001323,151-1-000101,,,
CV001343,152-1-000082,,,
CV001354,157-1-000081,,,
CV001396,151-1-000016,,,
CV001397,156-2-000081,0.45175395145262925,-1.0,7.0
CV001398,156-2-000084,7.60504665954638,-22.0,7.0
CV001426,154-2-000066,,,
CV001441,155-3-000004,,,
CV001462,154-1-000004,,,
CV001464,155-2-000054,,,
CV001488,153-2-000008,,,
CV001489,156-2-000070,,,
CV001490,154-1-000294,,,
CV001491,155-2-000055,,,
CV001492,157-1-000127,,,
CV001493,156-2-000038,,,
CV001494,156-2-000010,,,
CV001495,157-1-000140,,,
CV001496,156-2-000070,,,
CV001525,157-1-000121,,,
CV001529,156-2-000001,,,
CV001544,155-2-000054,,,
CV001545,157-1-000054,,,
CV001555,157-1-000126,,,
CV001562,153-2-000042,,,
CV001564,156-2-000071,2.2946254863155757,-6.0,7.0
CV001566,151-2-000037,,,
CV001580,154-2-000051,3.238795442501324,-1.0,7.0
CV001581,154-2-000033,3.653346243584124,9.0,7.0
CV001589,154-2-000054,3.5225222874108426,8.0,7.0
CV001592,154-2-000047,3.226168511610349,-8.0,7.0
CV001594,155-2-000051,0.9897433186107868,-2.0,7.0
CV001595,152-1-000131,,,
CV001600,151-2-000012,,,
CV001601,156-1-000035,,,
CV001604,152-2-000047,1.9897697538834418,-6.0,7.0
CV001605,152-2-000046,10.210039077260365,-27.0,7.0
CV001606,152-2-000045,2.9277002188456,-7.0,7.0
CV001619,151-1-000051,,,
CV001623,152-2-000024,,,
CV001626,157-1-000125,,,
CV001627,156-2-000084,7.60504665954638,-22.0,7.0
CV001631,156-2-000059,,,
CV001632,155-2-000060,2.4743582965269675,8.0,7.0
CV001634,156-2-000029,0.638876564999938,2.0,7.0
CV001635,156-2-000040,,,
CV001636,156-1-000087,,,
CV001637,157-1-000120,,,
CV001638,156-1-000087,,,
CV001646,153-1-000102,,,
CV001678,156-2-000014,,,
CV001687,154-1-000156,,,
CV001701,155-2-000010,0.9258200997725508,-2.0,7.0
CV001706,157-1-000135,,,
CV001707,154-1-000255,,,
CV001710,156-2-000060,,,
