statId,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm
CV000558,1510035000,76.1,31.0,1.0,원활
CV000559,1530017100,108.8,21.0,2.0,지체
CV000560,1540116700,73.6,18.0,2.0,지체
CV000561,1540025802,81.1,25.0,2.0,지체
CV000562,1550051400,69.2,24.0,2.0,지체
CV000564,1560106703,278.5,72.0,1.0,원활
CV000565,,,,,
CV000566,,,,,
CV000567,1500003805,275.9,32.0,1.0,원활
CV000569,,,,,
CV000599,1510022200,136.2,19.0,2.0,지체
CV000616,1500003200,68.2,15.0,3.0,정체
CV000618,1530023400,286.9,20.0,2.0,지체
CV000620,,,,,
CV000630,1510031600,146.6,49.0,1.0,원활
CV000648,,,,,
CV000657,1550034800,210.1,21.0,2.0,지체
CV000658,,,,,
CV000665,,,,,
CV000667,1570434100,189.7,59.0,1.0,원활
CV000670,1560003200,269.8,10.0,3.0,정체
CV000678,1570428401,207.9,40.0,1.0,원활
CV000701,,,,,
CV000724,,,,,
CV000750,1570430300,244.9,26.0,1.0,원활
CV000770,1550033000,41.8,23.0,2.0,지체
CV000783,,,,,
CV000799,1560087000,99.9,25.0,2.0,지체
CV000805,,,,,
CV000806,1510004400,204.6,37.0,1.0,원활
CV000807,1510038202,356.2,35.0,1.0,원활
CV000808,1520000102,330.4,26.0,1.0,원활
CV000809,1540023600,326.0,46.0,2.0,지체
CV000810,1540007700,145.7,19.0,2.0,지체
CV000811,1540011800,186.7,32.0,1.0,원활
CV000812,1500008200,203.8,65.0,1.0,원활
CV000813,1550041700,178.0,42.0,1.0,원활
CV000814,,,,,
CV000815,1520000102,347.3,26.0,1.0,원활
CV000816,1560102300,199.4,53.0,1.0,원활
CV000817,1550011502,318.6,36.0,1.0,원활
CV000818,1560091901,54.2,25.0,2.0,지체
CV000831,1510036000,51.9,27.0,1.0,원활
CV000849,1570428401,207.9,40.0,1.0,원활
CV000891,1570424301,92.7,28.0,1.0,원활
CV000896,1560003802,103.5,28.0,1.0,원활
CV000897,1560003801,128.6,28.0,1.0,원활
