incidentId,incidenteTypeCd,incidenteSubTypeCd,addressJibun,addressJibunCd,addressNew,linkId,locationDataX,locationDataY,locationTypeCd,locationData,incidenteTrafficCd,incidenteGradeCd,incidentTitle,incTrafficCode,incidentRegionCd,startDate,endDate,lane,roadName,sourceCode,controlType,important,updateDate,traffic_source,fetchedAt,type_nm
L93171199627,1,8,대구 달서구 용산동 산 4-3,2729011100,대구 달서구 새방로 43,1560484400,128.5228997,35.8629542,C0101,POINT(128.5228997 35.8629542),A0502,A0402,[사고] 새방로 EV충전소서촌공영주차R 에서 서구달서구 방향 1차로 고장 차량 주의운전,A0502,29,2026년 07월 26일  14시 02분,2026년 07월 26일  14시 32분,1차로,새방로,P000,0,0,,utic,2026-07-26T14:12:11.389748+09:00,사고·기타(1)
L93171199626,2,255,대구 달성군 논공읍 북리 1-27,2771025328,대구 달성군 논공읍 논공중앙로46길 1,1570828300,128.4592464,35.7322711,C0101,POINT(128.4592464 35.7322711),A0502,A0402,"[공사] 논공중앙로46길 북리1154 에서 북리120 방향 1,2차로 도로공사 주의운전",A0502,29,2026년 07월 26일  14시 02분,2026년 07월 26일  14시 32분,"1,2차로",논공중앙로46길,P000,0,0,,utic,2026-07-26T14:12:11.389748+09:00,공사·작업(2)
L93171221591,1,255,대구 수성구 지산동 1086,2726011100,대구 수성구 동대구로 100,1550019800,128.623480632663,35.83013549282372,C0101,,A0503,A0402,[사고] 무학로 두산오거리 에서 수성아트피아 방향 1차로 교통사고 교차로 내 교통사고,A0503,29,2026년 07월 27일  08시 11분,2026년 07월 27일  08시 59분,1차로,무학로,W013,0,0,2026년 07월 27일  08시 48분,utic,2026-07-27T08:50:34.621373+09:00,사고·기타(1)
L93171224363,2,13,대구 중구 남일동 143-1,2711011500,대구광역시 중구 중앙대로 지하 424,1500019200,128.59407442490306,35.871301022452336,C0101,,A0502,A0402,[공사] 중앙대로 중앙로역3번출구 에서 중앙네거리 방향 1차로 노변 유지보수 주의운전,A0502,29,2026년 07월 27일  09시 40분,2026년 07월 27일  23시 59분,1차로,중앙대로,P000,0,0,2026년 07월 27일  09시 43분,utic,2026-07-27T20:20:40.788748+09:00,공사·작업(2)
L93171254273,2,255,대구 동구 신천동 742,2714010200,대구 동구 동대구로 423-1,1510029600,128.6272942290853,35.87677876647833,C0101,,A0502,A0402,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미 방향 4차로 도로공사 주의운전,A0502,29,2026년 07월 28일  07시 33분,2026년 07월 28일  18시 03분,4차로,동부로,P000,0,0,2026년 07월 28일  07시 34분,utic,2026-07-28T08:46:06.217739+09:00,공사·작업(2)
L93171256131,2,255,대구 달서구 용산동 906,2729011100,대구 달서구 성서동로 350,1560065100,128.5157172,35.8520804,C0101,,A0502,A0402,[공사] 성서동로 이곡역사거리 에서 가야유치원 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 28일  08시 32분,2026년 07월 28일  15시 02분,1차로,성서동로,P000,0,0,2026년 07월 28일  08시 42분,utic,2026-07-28T08:46:06.217739+09:00,공사·작업(2)
L93171339832,2,255,대구 북구 대현동 258-1,2723011000,대구 북구 대현로 107,1540429700,128.6106012,35.8822237,C0101,,A0502,A0402,[공사] 대현로 신창교회 에서 대한응급구조사협회 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 30일  11시 01분,2026년 07월 30일  17시 31분,1차로,대현로,P000,0,0,2026년 07월 30일  11시 05분,utic,2026-07-30T13:59:23.709873+09:00,공사·작업(2)
L93171338855,2,18,대구 동구 신천동 743,2714010200,대구 동구 동부로 166-1,1510021700,128.6287407,35.8732744,C0101,,A0502,A0402,[공사] 동부로30길 대한예수교회늘푸른교회 에서 대구축산농협동신천지점 방향 1차로 가로등 작업 주의운전,A0502,29,2026년 07월 30일  10시 39분,2026년 07월 30일  14시 09분,1차로,동부로30길,P000,0,0,2026년 07월 30일  10시 42분,utic,2026-07-30T13:59:23.709873+09:00,공사·작업(2)
L93171338010,2,255,대구 동구 신암동 808-4,2714010100,대구 동구 대현로 125,1510034800,128.6125209,35.8817242,C0101,,A0502,A0402,[공사] 대현로 공고네거리 에서 대한응급구조사협회 방향 2차로 도로공사 주의운전,A0502,29,2026년 07월 30일  10시 21분,2026년 07월 30일  17시 51분,2차로,대현로,P000,0,0,2026년 07월 30일  10시 21분,utic,2026-07-30T13:59:23.709873+09:00,공사·작업(2)
L93171335497,2,6,대구 북구 동호동 209-1,2723011900,대구 북구 팔거천동로 386,1540331400,128.55980956646908,35.95818196848336,C0101,,A0502,A0402,[공사] 팔거천동로 동호동151-1 에서 동호동1875 방향 1차로 유지보수 주의운전,A0502,29,2026년 07월 30일  09시 13분,2026년 07월 30일  15시 40분,1차로,팔거천동로,P000,0,0,2026년 07월 30일  09시 14분,utic,2026-07-30T13:59:23.709873+09:00,공사·작업(2)
L93171337770,2,255,대구 북구 매천동 154,2723012700,대구 북구 학정로 6,1540060302,128.54264638473518,35.91273393081849,C0101,,A0502,A0402,[공사] 매천로 매천삼거리 에서 매천초등학교앞교차로 방향 4차로 도로공사 주의운전,A0502,29,2026년 07월 30일  10시 14분,2026년 07월 30일  14시 44분,4차로,매천로,P000,0,0,2026년 07월 30일  10시 14분,utic,2026-07-30T13:59:23.709873+09:00,공사·작업(2)
