station_key,충전소명,시군구,지역,sessions,kwh_sum,kwh_mean,months
읍내동 행정복지센터|북구,읍내동 행정복지센터,북구,대구광역시,1174,28336.78,24.136950596252127,8
강북지구대|북구,강북지구대,북구,대구광역시,1168,25765.15,22.05920376712329,8
장기공원 주차장|달서구,장기공원 주차장,달서구,대구광역시,1094,28174.47,25.753628884826327,8
한국산업단지공단 대구지역본부|달서구,한국산업단지공단 대구지역본부,달서구,대구광역시,1034,25538.71,24.69894584139265,8
대구강북경찰서|북구,대구강북경찰서,북구,대구광역시,1014,30630.04,30.207140039447733,8
율암동 공영주차장|동구,율암동 공영주차장,동구,대구광역시,1007,27437.05,27.24632571996028,8
달성문화원|달성군,달성문화원,달성군,대구광역시,992,24931.68,25.13274193548387,8
서구 문화회관|서구,서구 문화회관,서구,대구광역시,949,19517.93,20.566838777660696,8
연암공원|북구,연암공원,북구,대구광역시,933,25551.46,27.386345123258305,8
근로복지공단 대구병원|북구,근로복지공단 대구병원,북구,대구광역시,929,26952.36,29.01222820236814,8
대구시청|중구,대구시청,중구,대구광역시,925,13864.05,14.988162162162162,8
국가물산업클러스터 주차장|달성군,국가물산업클러스터 주차장,달성군,대구광역시,891,22580.76,25.343164983164982,8
물산업클러스터|달성군,물산업클러스터,달성군,대구광역시,858,21779.65,25.38420745920746,8
낙동강물환경연구소|달성군,낙동강물환경연구소,달성군,대구광역시,846,23142.99,27.355780141843972,8
범어2동 행정복지센터|수성구,범어2동 행정복지센터,수성구,대구광역시,840,21702.32,25.836095238095236,8
두류공원관리소|달서구,두류공원관리소,달서구,대구광역시,835,13835.61,16.56959281437126,8
노원동행정복지센터|북구,노원동행정복지센터,북구,대구광역시,835,16703.05,20.00365269461078,8
대구보건환경연구원|수성구,대구보건환경연구원,수성구,대구광역시,801,13065.21,16.311123595505617,8
서남시장공영주차장|달서구,서남시장공영주차장,달서구,대구광역시,800,15114.44,18.893050000000002,8
한국산업인력공단 대구지역본부|달서구,한국산업인력공단 대구지역본부,달서구,대구광역시,765,13353.73,17.455856209150326,8
도원동마을공영주차장|달서구,도원동마을공영주차장,달서구,대구광역시,764,16536.78,21.645,8
서재문화체육센터|달성군,서재문화체육센터,달성군,대구광역시,741,18090.41,24.413508771929823,8
대구경북첨단의료산업진흥재단|동구,대구경북첨단의료산업진흥재단,동구,대구광역시,730,21038.11,28.819328767123288,8
대구수성경찰서|수성구,대구수성경찰서,수성구,대구광역시,722,21012.9,29.103739612188367,8
남구시니어행복센터|남구,남구시니어행복센터,남구,대구광역시,715,18238.11,25.507846153846156,8
대구달서경찰서|달서구,대구달서경찰서,달서구,대구광역시,705,19654.59,27.87885106382979,8
북대구세무서|북구,북대구세무서,북구,대구광역시,691,15157.03,21.93492040520984,8
서촌공영주차장|달서구,서촌공영주차장,달서구,대구광역시,688,9573.66,13.915203488372093,8
관사정문 주차장|동구,관사정문 주차장,동구,대구광역시,661,18570.07,28.093903177004538,8
한국사학진흥재단|동구,한국사학진흥재단,동구,대구광역시,654,15068.7,23.040825688073397,8
달성군청|달성군,달성군청,달성군,대구광역시,651,17388.97,26.711167434715822,8
송현주공시장 공영주차장|달서구,송현주공시장 공영주차장,달서구,대구광역시,650,10039.15,15.444846153846154,8
한국산업기술평가관리원|동구,한국산업기술평가관리원 ,동구,대구광역시,644,15174.56,23.562981366459628,6
