collected_at,occ_mean,occ_median,lots,만차(점유 90%초과),보통(점유 70%미만),여유(점유 50%미만),혼잡(점유 90%미만)
2026-07-26 21:40:02,36.670857142857145,30.67,106,6.666666666666667,13.333333333333334,72.38095238095238,7.6190476190476195
2026-07-26 21:50:02,36.26533333333334,29.58,106,6.666666666666667,13.333333333333334,72.38095238095238,7.6190476190476195
2026-07-26 22:00:03,35.79419047619047,29.58,106,7.6190476190476195,13.333333333333334,73.33333333333333,5.714285714285714
2026-07-26 22:10:02,34.487904761904765,27.42,106,6.666666666666667,12.380952380952381,76.19047619047619,4.761904761904762
2026-07-26 22:20:02,33.96704761904762,26.87,106,4.761904761904762,13.333333333333334,75.23809523809524,6.666666666666667
2026-07-26 22:30:03,33.56714285714286,27.08,106,3.8461538461538463,12.5,75.96153846153845,7.6923076923076925
2026-07-26 22:40:02,33.30580952380952,26.09,106,3.8095238095238098,11.428571428571429,77.14285714285715,7.6190476190476195
2026-07-26 22:50:02,32.881238095238096,26.09,106,3.8095238095238098,11.428571428571429,78.0952380952381,6.666666666666667
2026-07-26 23:00:03,32.43104761904762,26.09,106,3.8095238095238098,9.523809523809524,80.0,6.666666666666667
2026-07-26 23:10:02,31.94514285714286,25.81,106,3.8095238095238098,10.476190476190476,80.0,5.714285714285714
2026-07-26 23:20:02,31.492190476190476,24.81,106,3.8095238095238098,9.523809523809524,80.95238095238095,5.714285714285714
