horizon_minutes,feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
10,direct_observed_count,325361,0.0,20,0.9131948819926174,0.1175670795789332,0.0,0.13259695899816185,0.625732276417758,0.6270360046125734,0.6148494282553215,0.6460385604500097,0.013405720253419462,0.0
10,total_chargers,325361,0.0,37,0.9131948819926174,0.1260084256524137,0.0,0.2332592710660078,0.7265623817684335,0.7270267501192851,0.7173831375370082,0.7377832636215577,0.034344096322060036,0.0
10,observation_coverage,325361,0.0,147,0.9131948819926174,-0.1683585186515691,0.0,-0.17287778263164738,0.6404895320671464,0.644094133771062,0.630535189825913,0.6555304875710012,0.026739132906213214,0.0
10,direct_observation_coverage,325361,0.0,115,0.9131948819926174,0.02496256328892185,5.105330467027881e-46,0.03165581419391379,0.5287353519545155,0.5322413546106877,0.5144741418895086,0.553661645460049,0.017464131308363884,6.199329852819569e-46
10,observation_age_minutes,325361,0.0,444,0.9131948819926174,-0.08015832495097136,0.0,-0.09119715627501758,0.5703897889993343,0.5720953987663336,0.5585619255135031,0.5868028979407797,0.0031572100975589823,0.0
10,available_count_delta_1tick,293117,0.09910222798675927,23,0.9262342341112935,0.14367005525114718,0.0,0.14982087621325468,0.5962686711910883,0.586437231539746,0.5720050885644439,0.6040125321573298,0.013388205750362703,0.0
10,minutes_since_last_change,325361,0.0,30622,0.9131948819926174,0.10969895514357719,0.0,0.21749115498952354,0.7217992098682838,0.7173076014657367,0.7013844148872671,0.7350987444002792,0.0364197271460025,0.0
10,hour,325361,0.0,24,0.9131948819926174,-0.058689190107551144,4.0328757015063216e-246,-0.0617695021264622,0.563270871065104,0.5300357861859376,0.502218133086372,0.5641727759409392,0.006144039684391256,5.713240577133955e-246
10,weekday,325361,0.0,7,0.9131948819926174,0.003797194812794295,0.030316114746793667,0.0032160141434499833,0.5032439219545768,0.5113911356885052,0.5004376695132263,0.5318355546065834,0.0012402268715285825,0.030316114746793663
10,is_weekend,325361,0.0,2,0.9131948819926174,0.008370542660086954,1.8001260281342163e-06,0.008370542660086513,0.505968548778115,0.5063069564829012,0.5005804659307309,0.5195006262346763,0.0,2.0401428318854453e-06
10,sessions_per_charger,27585,0.915217250991975,192,0.6932390792097154,-0.09260080119010107,1.3542353425200515e-53,-0.12213439412891379,0.5764471341548356,0.5815754076623457,0.5639680962630409,0.5992854552541726,0.11824374498312151,1.770923140218529e-53
10,usage_daytype_avg,27585,0.915217250991975,362,0.6932390792097154,0.023751180247588558,7.975079106241604e-05,-0.013678379643557899,0.5085620878253065,0.5087920669371431,0.5004699148832207,0.522597124225329,0.1173128923416773,8.473521550381704e-05
10,history_observed,325361,0.0,2,0.9131948819926174,-0.23777854859206843,0.0,-0.23777854859206515,0.6176262147817776,0.6166100906927472,0.6016855487867419,0.6330365202538362,0.018426059837464148,0.0
10,unobserved_rate,325361,0.0,147,0.9131948819926174,0.1683585186515691,0.0,0.17287778263164738,0.6404895320671464,0.6440941337710621,0.6305351898259128,0.6555304875710012,0.021711481904263197,0.0
15,horizon_minutes,296449,0.0,1,0.9260142554031217,,,,,,,,,
15,available_count,296449,0.0,23,0.9260142554031217,0.21778734224171067,0.0,0.286818297923227,0.786917494322634,0.776933633864927,0.7615563428048112,0.7927962858181018,0.05125847037558029,0.0
15,usable_count,296449,0.0,21,0.9260142554031217,0.14832855634796813,0.0,0.18379378630480783,0.6760525987055365,0.6765034275936097,0.6597265257535286,0.6949056932896428,0.024855449150959386,0.0
