충전소ID,기준시각,사용가능_대수,전체_충전기수,관측_가용률,상태신뢰도_등급,관측신선도_등급,좌표_유효,확정가용_여부,위도,경도,미관측_비율,상태경과_분,관측경과_분
HM000210,2026-08-09T07:23:21+09:00,4,5,0.8,확인필요(15분초과),확인필요(15분초과),True,True,35.9410004,128.5543896,0.0,781.3166666666667,774.9333333333333
HM000211,2026-08-09T07:23:21+09:00,1,4,0.5,확인필요(15분초과),확인필요(15분초과),True,True,35.849650717,128.65690978,0.5,987.3,985.3
HM000212,2026-08-09T07:23:21+09:00,0,5,0.0,확인필요(15분초과),확인필요(15분초과),True,False,35.874086707,128.50071563,0.0,605.3166666666667,604.7333333333333
HM000244,2026-08-09T07:23:21+09:00,25,31,0.8620689655172413,확인필요(15분초과),확인필요(15분초과),True,True,35.940088171,128.56577439,0.06451612903225806,79.31666666666666,70.08333333333333
HM000267,2026-08-09T07:23:21+09:00,12,14,0.8571428571428571,확인필요(15분초과),확인필요(15분초과),True,True,35.855562651,128.64080562,0.0,73.28333333333333,70.08333333333333
HM000300,2026-08-09T07:23:21+09:00,0,4,,확인필요(15분초과),확인필요(15분초과),True,False,35.809113031,128.51003856,1.0,,
HM000302,2026-08-09T07:23:21+09:00,17,20,0.85,확인필요(15분초과),보통(5~15분),True,True,35.656039862,128.42290374,0.0,17.283333333333335,10.016666666666667
HM000303,2026-08-09T07:23:21+09:00,10,10,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.868678522,128.68877484,0.0,179.3,170.18333333333334
HM000304,2026-08-09T07:23:21+09:00,1,2,0.5,확인필요(15분초과),확인필요(15분초과),True,True,35.889937677,128.58692349,0.0,439.26666666666665,434.51666666666665
HM000311,2026-08-09T07:23:21+09:00,5,5,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.852691922,128.51332918,0.0,381.28333333333336,380.35
HM000341,2026-08-09T07:23:21+09:00,7,8,0.875,확인필요(15분초과),확인필요(15분초과),True,True,35.807170634,128.52401734,0.0,223.28333333333333,220.21666666666667
HM000343,2026-08-09T07:23:21+09:00,12,13,0.9230769230769231,확인필요(15분초과),확인필요(15분초과),True,True,35.8156,128.522,0.0,225.28333333333333,220.21666666666667
HM000345,2026-08-09T07:23:21+09:00,28,33,0.8484848484848485,확인필요(15분초과),확인필요(15분초과),True,True,35.8590269,128.4676838,0.0,39.3,30.033333333333335
HM000355,2026-08-09T07:23:21+09:00,9,10,0.9,확인필요(15분초과),확인필요(15분초과),True,True,35.875784681,128.58772767,0.0,115.28333333333333,110.11666666666666
HM000360,2026-08-09T07:23:21+09:00,7,7,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.892435087,128.58809479,0.0,97.28333333333333,90.1
HM000362,2026-08-09T07:23:21+09:00,6,10,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.780536444,128.44158423,0.4,4877.25,4870.9
HM000379,2026-08-09T07:23:21+09:00,3,5,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.860726367,128.52894895,0.4,1457.2666666666667,1455.9
HM000382,2026-08-09T07:23:21+09:00,6,8,0.75,확인필요(15분초과),확인필요(15분초과),True,True,35.813234558,128.54721283,0.0,167.26666666666668,160.16666666666666
HM000388,2026-08-09T07:23:21+09:00,2,3,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.880717551,128.59352667,0.3333333333333333,17815.233333333334,17807.116666666665
HM000392,2026-08-09T07:23:21+09:00,3,3,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.807020869,128.52374082,0.0,913.25,905.2333333333333
HM000399,2026-08-09T07:23:21+09:00,2,2,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.860944195,128.57892966,0.0,1611.2666666666667,1606.05
HM000402,2026-08-09T07:23:21+09:00,10,10,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8469272,128.5996778,0.0,1389.2833333333333,1385.8166666666666
HM000419,2026-08-09T07:23:21+09:00,5,5,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.90013829,128.61566339,0.0,3249.25,3242.0666666666666
HM000443,2026-08-09T07:23:21+09:00,7,10,0.7,보통(5~15분),높음(5분이내),True,True,35.816167312,128.54585949,0.0,9.266666666666667,0.0
HM000446,2026-08-09T07:23:21+09:00,2,2,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.879854372,128.66124183,0.0,983.2,975.3
HM000485,2026-08-09T07:23:21+09:00,18,20,0.9,확인필요(15분초과),확인필요(15분초과),True,True,35.863862844,128.57818876,0.0,145.26666666666668,140.16666666666666
