statId,busiId,busiNm,bnm,match_name,fee_operator_nm,fee_match_level,fee_type_sample,capacity_class_sample,member_won_sample,nonmember_won_sample,fee_updated_at_sample
ME19C403,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19C404,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19D114,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19D216,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19E138,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19E139,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19E161,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19E215,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19E216,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19E217,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
