matched_id,parking_name,parking_addr,parking_type,parking_spaces,best_grade,best_distance_m,ev_station_count,best_statId,best_charger_name,evidence
155-4-000027,노외주차장,대구광역시 수성구 수성2가동 250-3,민영,15,NEARBY_ONLY,89.3,4,LU101179,수성대백인터빌,좌표 거리 89.3m · 거리만 가까움: 현장/주소 검토 필요
151-1-000108,아양로49길 (1),대구광역시 동구 신암동 1525,공영,10,NEARBY_ONLY,89.4,1,CV000390,청기와아파트,좌표 거리 89.4m · 거리만 가까움: 현장/주소 검토 필요
151-1-000135,율하롯데캐슬탑클래스 아파트 앞,대구광역시 동구 율하동 1158,공영,27,NEARBY_ONLY,89.6,1,PL031881,대구 율하롯데캐슬탑클래스,좌표 거리 89.6m · 거리만 가까움: 현장/주소 검토 필요
157-1-000036,논공로7길,대구광역시 달성군 논공읍 남리 1147,공영,13,NEARBY_ONLY,89.7,1,ST277107,경일아파트(입주민 전용),좌표 거리 89.7m · 거리만 가까움: 현장/주소 검토 필요
150-2-000016,약령시 서편공영주차장,대구광역시 중구 남성로 33,공영,17,NEARBY_ONLY,89.8,2,KE001402,경찰대구중앙파출소,좌표 거리 89.8m · 거리만 가까움: 현장/주소 검토 필요
155-2-000013,범어천로 노상공영 1주차장,대구광역시 수성구 범어동 546-1,공영,49,NEARBY_ONLY,90.4,3,SF002638,범어센트럴푸르지오 (오피스텔),좌표 거리 90.4m · 거리만 가까움: 현장/주소 검토 필요
153-2-000001,청소년 블루존 제2공영주차장,대구광역시 남구 대명2동 1809-5번지,공영,11,NEARBY_ONLY,90.6,1,CV000536,대구시_대명2동 행정복지센터,좌표 거리 90.6m · 거리만 가까움: 현장/주소 검토 필요
151-1-000162,해동로 공항방향 (2),대구광역시 동구 지저동 858-26,공영,5,NEARBY_ONLY,90.7,1,PW800222,태왕아너스리버파크입주자대표회의,좌표 거리 90.7m · 거리만 가까움: 현장/주소 검토 필요
155-1-000003,e-편한세상 대구범어 APT 서편,대구광역시 수성구 범어동 1216,공영,27,NEARBY_ONLY,90.8,1,HM001574,청운신협,좌표 거리 90.8m · 거리만 가까움: 현장/주소 검토 필요
155-1-000118,서한두레맨션 남편,대구광역시 수성구 범어동 305-3,공영,12,NEARBY_ONLY,90.8,1,PI796484,대구 수성구 두레맨션,좌표 거리 90.8m · 거리만 가까움: 현장/주소 검토 필요
156-2-000076,공한지9주차장,대구시 달서구 진천동 120-5,공영,10,NEARBY_ONLY,90.9,1,PW013555,동백맨션입주자대표회의,좌표 거리 90.9m · 거리만 가까움: 현장/주소 검토 필요
157-1-000076,돌미로인근,대구광역시 달성군 옥포읍 교항리 2934,공영,18,NEARBY_ONLY,91.0,1,LU002435,세한건설,좌표 거리 91.0m · 거리만 가까움: 현장/주소 검토 필요
157-1-000069,다사역로 A,대구광역시 달성군 다사읍 매곡리 510,공영,54,NEARBY_ONLY,91.0,2,KE000359,대구다사주공201동,좌표 거리 91.0m · 거리만 가까움: 현장/주소 검토 필요
154-1-000165,성북로13길,대구광역시 북구 침산동 335,공영,18,NEARBY_ONLY,91.1,1,CV002431,침산화성파크드림,좌표 거리 91.1m · 거리만 가까움: 현장/주소 검토 필요
151-1-000092,신천LH 아파트 앞,대구광역시 동구 신천동 543-20,공영,5,NEARBY_ONLY,91.2,5,CV002176,신천역센트럴리버파크아파트 5주차장,좌표 거리 91.2m · 거리만 가까움: 현장/주소 검토 필요
153-1-000042,대봉로30길,대구광역시 남구 이천동 284-13,공영,4,NEARBY_ONLY,91.6,1,PC001285,대봉교역 금호어울림 에듀리버(대구),좌표 거리 91.6m · 거리만 가까움: 현장/주소 검토 필요
154-1-000295,화성리버파크1단지동측,대구광역시 북구 서변동 1771,공영,29,NEARBY_ONLY,91.6,1,KE000602,대구화성리버파크1단지106동,좌표 거리 91.6m · 거리만 가까움: 현장/주소 검토 필요
157-1-000084,본리로,대구광역시 달성군 옥포읍 본리리 2527-6,공영,22,NEARBY_ONLY,91.6,1,PW014874,옥포세광무지개마을,좌표 거리 91.6m · 거리만 가까움: 현장/주소 검토 필요
156-2-000061,학산근린공원 위령탑 주차장,대구시 달서구 월성동 475-12,공영,32,NEARBY_ONLY,91.9,1,PL031623,대구 월성영남맨션,좌표 거리 91.9m · 거리만 가까움: 현장/주소 검토 필요
151-1-000049,동촌로8길,대구광역시 동구 입석동 930-126,공영,9,NEARBY_ONLY,92.2,1,PI740174,동촌화성타운103동,좌표 거리 92.2m · 거리만 가까움: 현장/주소 검토 필요
157-1-000102,성천로,대구광역시 달성군 화원읍 설화리 555,공영,18,NEARBY_ONLY,92.2,1,CV002348,달성농수산물종합유통센터,좌표 거리 92.2m · 거리만 가까움: 현장/주소 검토 필요
153-2-000005,앞산 카페거리 공영주차장,대구광역시 남구 대명9동 501-3번지,공영,32,NEARBY_ONLY,92.7,1,CV003127,대구시_대명9동 행정복지센터,좌표 거리 92.7m · 거리만 가까움: 현장/주소 검토 필요
151-2-000029,봉무공원 제2주차장,대구광역시 동구 봉무동 529-2,공영,150,NEARBY_ONLY,92.8,1,LU000083,리아카데미 대구국제학교,좌표 거리 92.8m · 거리만 가까움: 현장/주소 검토 필요
155-4-000024,노외주차장,대구광역시 수성구 달구벌대로 3107,민영,10,NEARBY_ONLY,93.5,1,KP000480,시지월드메르디앙,좌표 거리 93.5m · 거리만 가까움: 현장/주소 검토 필요
155-4-000004,삼성주차장,대구광역시 수성구 범어동 173-2,민영,10,NEARBY_ONLY,93.6,5,PL005034,범어서한포레스트,좌표 거리 93.6m · 거리만 가까움: 현장/주소 검토 필요
153-1-000052,봉덕남로 (2),대구광역시 남구 봉덕동 680-6,공영,8,NEARBY_ONLY,94.4,1,CV000519,대구시_봉덕3동 행정복지센터,좌표 거리 94.4m · 거리만 가까움: 현장/주소 검토 필요
150-2-000025,노외(공한지),대구광역시 중구 남산동 2446-8,공영,8,NEARBY_ONLY,94.8,1,MO910154,대구남산병원,좌표 거리 94.8m · 거리만 가까움: 현장/주소 검토 필요
155-1-000167,지범로 1,대구광역시 수성구 범물동 1308-17,공영,48,NEARBY_ONLY,95.1,2,ER000478,범물우방미진하이츠,좌표 거리 95.1m · 거리만 가까움: 현장/주소 검토 필요
155-4-000015,노외주차장,대구광역시 수성구 수성1가동 426-3,민영,25,NEARBY_ONLY,95.1,3,LU002944,수성롯데캐슬더퍼스트,좌표 거리 95.1m · 거리만 가까움: 현장/주소 검토 필요
155-4-000026,효성 유료24시 주차장,대구광역시 수성구 달구벌대로 656길 11-17,민영,74,NEARBY_ONLY,95.2,1,PI740088,시지효성백년가약1단지지하3층,좌표 거리 95.2m · 거리만 가까움: 현장/주소 검토 필요
151-1-000037,동촌로14길,대구광역시 동구 검사동 990-105,공영,10,NEARBY_ONLY,95.4,1,EV007970,대구동구 문화아파트,좌표 거리 95.4m · 거리만 가까움: 현장/주소 검토 필요
157-1-000054,논공중앙로34길 A,대구광역시 달성군 논공읍 북리 476-6,공영,31,NEARBY_ONLY,95.6,1,CG000066,대구 태원모터스,좌표 거리 95.6m · 거리만 가까움: 현장/주소 검토 필요
157-1-000001,과학마을로A,대구광역시 달성군 구지면 응암리 1189-3,공영,11,NEARBY_ONLY,95.8,1,ST277103,달성화성파크드림 입주자대표회의(입주민 전용),좌표 거리 95.8m · 거리만 가까움: 현장/주소 검토 필요
155-1-000173,지산중학교 남편,대구광역시 수성구 지산동 1234,공영,20,NEARBY_ONLY,96.5,1,CV000814,대구시_지산2동,좌표 거리 96.5m · 거리만 가까움: 현장/주소 검토 필요
154-1-000154,북구청2,대구광역시 북구 원대로101,공영,15,NEARBY_ONLY,96.7,1,ME18C170,북대구세무서,좌표 거리 96.7m · 거리만 가까움: 현장/주소 검토 필요
155-1-000070,래미안수성 APT 남편,대구광역시 수성구 범어동 475-39,공영,18,NEARBY_ONLY,96.9,1,EV006284,대구수성 월드메르디앙이스턴카운티1,좌표 거리 96.9m · 거리만 가까움: 현장/주소 검토 필요
155-4-000017,상동유료주차장,대구광역시 수성구 수성로19길 10,민영,6,NEARBY_ONLY,97.3,1,LU000118,(주)알파엠앤씨,좌표 거리 97.3m · 거리만 가까움: 현장/주소 검토 필요
153-1-000079,용두방천1길,대구광역시 남구 이천동 214-456,공영,19,NEARBY_ONLY,97.4,1,PW015255,강변타운관리사무소,좌표 거리 97.4m · 거리만 가까움: 현장/주소 검토 필요
156-2-000004,공한지5주차장,대구시 달서구 대곡동 1108,공영,75,NEARBY_ONLY,97.5,3,CV002669,한실초등학교,좌표 거리 97.5m · 거리만 가까움: 현장/주소 검토 필요
153-2-000016,봉명 공영주차장,대구광역시 남구 봉덕1동 705-8번지,공영,36,NEARBY_ONLY,97.9,1,PIH00517,아도스하우스주택,좌표 거리 97.9m · 거리만 가까움: 현장/주소 검토 필요
157-1-000138,현풍로D,대구광역시 달성군 현풍읍 중리 193,공영,18,NEARBY_ONLY,97.9,1,CV003078,대구시_현풍읍행정복지센터,좌표 거리 97.9m · 거리만 가까움: 현장/주소 검토 필요
151-1-000188,효목로19길 (1),대구광역시 동구 효목동 46-11,공영,6,NEARBY_ONLY,98.0,1,KE000987,대구동구신암진로이스트타운,좌표 거리 98.0m · 거리만 가까움: 현장/주소 검토 필요
