statId,chgerId,statNm,addr,lat,lng,busiNm,parkingFree,limitYn,delYn,fetchedAt
ME18C147,01,삼국유사 가온누리,대구광역시 군위군 의흥면 일연테마로 100,36.158508,128.69693,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C170,01,북대구세무서,대구광역시 북구 침산동 402-3,35.888337,128.583212,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C171,01,노원동행정복지센터,대구광역시 북구 노원동2가 214,35.890297126,128.57602020,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C172,01,침산3동행정복지센터,대구광역시 북구 성북로 55,35.892053,128.589389,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C173,01,침산공원,대구광역시 북구 침산동 1192-1,35.895815731,128.58413411,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C174,01,서구 문화회관,대구광역시 서구 당산로 403,35.872177843,128.54599709,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C175,01,대명1동 행정복지센터,대구광역시 남구 두류공원로 38,35.841448784,128.57357283,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C176,01,도원동마을공영주차장,대구광역시 달서구 도원동 668-10,35.805873,128.547724,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C177,01,낙동강 레포츠밸리,대구광역시 달성군 구지면 오설리 756,35.671921189,128.37141736,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C178,01,안심2동 공영주차장,대구광역시 동구 용계동 923-3,35.875507,128.686917,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C229,11,군위(춘천) 휴게소,대구광역시 군위군 군위읍 경북대로 4082,36.264836,128.576084,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C229,12,군위(춘천) 휴게소,대구광역시 군위군 군위읍 경북대로 4082,36.264836,128.576084,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C230,11,군위국민체육센터 주차장,대구광역시 군위군 군위읍 군청로 158,36.237,128.573,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C230,12,군위국민체육센터 주차장,대구광역시 군위군 군위읍 군청로 158,36.237,128.573,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C251,11,삼국유사 군위(서울) 휴게소,대구광역시 군위군 부계면 치산효령로 989-23,36.07904,128.697565,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C251,12,삼국유사 군위(서울) 휴게소,대구광역시 군위군 부계면 치산효령로 989-23,36.07904,128.697565,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C254,11,대구 문화예술회관,대구광역시 달서구 달서구 공원순환로 201,35.844326550,128.56020707,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C254,12,대구 문화예술회관,대구광역시 달서구 달서구 공원순환로 201,35.844326550,128.56020707,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C255,11,달서별빛캠프 캠핑장,대구광역시 달서구 달서구 송현동 산56번지,35.824056,128.55675,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C255,12,달서별빛캠프 캠핑장,대구광역시 달서구 달서구 송현동 산56번지,35.824056,128.55675,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C257,11,논공(대구) 휴게소,대구광역시 달성군 논공읍 삼리리 543,35.764417,128.402159,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C257,12,논공(대구) 휴게소,대구광역시 달성군 논공읍 삼리리 543,35.764417,128.402159,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C258,11,해안동 공영주차장,대구광역시 동구 방촌동 126-2번지,35.895994,128.584206,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C258,12,해안동 공영주차장,대구광역시 동구 방촌동 126-2번지,35.895994,128.584206,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C259,11,율암동 공영주차장,대구광역시 동구 율암동 524-416 번지,35.880036,128.701384,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C259,12,율암동 공영주차장,대구광역시 동구 율암동 524-416 번지,35.880036,128.701384,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C260,11,연암공원,대구광역시 북구 산격동 1233-8,35.899973,128.604496,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C260,12,연암공원,대구광역시 북구 산격동 1233-8,35.899973,128.604496,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
