statId,statNm,lat,lng,origin_id,origin_label,origin_lat,origin_lng,haversine_km,haversine_eta_min_proxy,tmap_eta_min,tmap_eta_minutes_int,tmap_road_km,tmap_http,tmap_error,fetched_at_kst,eta_source
ME20C185,한국산업인력공단 대구지역본부,35.8358783,128.5056659,dongdaegu,동대구역 인근,35.8797,128.6284,12.087,24.2,34.6,35.0,18.984,200,,2026-08-07T16:22:15+09:00,tmap_routes_trafficInfo_Y
ME20C186,논공읍행정복지센터,35.774244,128.420596,dongdaegu,동대구역 인근,35.8797,128.6284,22.102,44.2,44.2,44.0,29.932,200,,2026-08-07T16:22:15+09:00,tmap_routes_trafficInfo_Y
ME20C187,달성군보건소,35.6918817,128.4462723,dongdaegu,동대구역 인근,35.8797,128.6284,26.572,53.1,54.6,55.0,40.01,200,,2026-08-07T16:22:16+09:00,tmap_routes_trafficInfo_Y
ME20C188,신암3동행정복지센터,35.879398,128.623172,dongdaegu,동대구역 인근,35.8797,128.6284,0.472,0.9,3.5,4.0,0.86,200,,2026-08-07T16:22:16+09:00,tmap_routes_trafficInfo_Y
ME20C189,한국사학진흥재단,35.87656412,128.7349966,dongdaegu,동대구역 인근,35.8797,128.6284,9.61,19.2,30.4,30.0,12.432,200,,2026-08-07T16:22:17+09:00,tmap_routes_trafficInfo_Y
ME20C285,달성습지생태학습관,35.8159,128.4861019,dongdaegu,동대구역 인근,35.8797,128.6284,14.657,29.3,46.9,47.0,23.182,200,,2026-08-07T16:22:17+09:00,tmap_routes_trafficInfo_Y
ME20C286,읍내동 행정복지센터,35.946211,128.550539,dongdaegu,동대구역 인근,35.8797,128.6284,10.191,20.4,31.0,31.0,13.365,200,,2026-08-07T16:22:18+09:00,tmap_routes_trafficInfo_Y
ME20C287,한국도로공사 북대구영업소,35.911213,128.584818,dongdaegu,동대구역 인근,35.8797,128.6284,5.262,10.5,21.0,21.0,8.27,200,,2026-08-07T16:22:18+09:00,tmap_routes_trafficInfo_Y
ME20C288,한국도로공사 서대구영업소,35.8833794,128.5250358,dongdaegu,동대구역 인근,35.8797,128.6284,9.321,18.6,29.1,29.0,13.641,200,,2026-08-07T16:22:19+09:00,tmap_routes_trafficInfo_Y
ME20C304,대구경북첨단의료산업진흥재단,35.88159471,128.73661614,dongdaegu,동대구역 인근,35.8797,128.6284,9.752,19.5,31.9,32.0,12.835,200,,2026-08-07T16:22:19+09:00,tmap_routes_trafficInfo_Y
ME20C414,낙동강물환경연구소,35.654018106,128.42198098,dongdaegu,동대구역 인근,35.8797,128.6284,31.25,62.5,52.7,53.0,44.539,200,,2026-08-07T16:22:20+09:00,tmap_routes_trafficInfo_Y
ME20D206,한국산업기술평가관리원,35.878648,128.733636,dongdaegu,동대구역 인근,35.8797,128.6284,9.482,19.0,30.9,31.0,12.259,200,,2026-08-07T16:22:20+09:00,tmap_routes_trafficInfo_Y
ME21A140,한국국토정보공사 군위지사,36.2371534,128.5676506,dongdaegu,동대구역 인근,35.8797,128.6284,40.12,80.2,53.0,53.0,47.386,200,,2026-08-07T16:22:21+09:00,tmap_routes_trafficInfo_Y
ME21A903,논공(대구) 휴게소,35.7649622,128.40266,dongdaegu,동대구역 인근,35.8797,128.6284,24.021,48.0,57.6,58.0,41.256,200,,2026-08-07T16:22:21+09:00,tmap_routes_trafficInfo_Y
ME21A910,논공(광주) 휴게소,35.7672171,128.4034658,dongdaegu,동대구역 인근,35.8797,128.6284,23.827,47.7,40.9,41.0,31.583,200,,2026-08-07T16:22:22+09:00,tmap_routes_trafficInfo_Y
ME21B130,대구강북경찰서,35.9435074,128.5660828,dongdaegu,동대구역 인근,35.8797,128.6284,9.046,18.1,27.4,27.0,12.122,200,,2026-08-07T16:22:22+09:00,tmap_routes_trafficInfo_Y
ME21B198,대구수성경찰서,35.85836914,128.63194358,dongdaegu,동대구역 인근,35.8797,128.6284,2.393,4.8,20.2,20.0,5.286,200,,2026-08-07T16:22:23+09:00,tmap_routes_trafficInfo_Y
ME21B1D2,소방장비관리센터,36.154101,128.5832387,dongdaegu,동대구역 인근,35.8797,128.6284,30.781,61.6,53.8,54.0,42.727,200,,2026-08-07T16:22:23+09:00,tmap_routes_trafficInfo_Y
