horizon_minutes,feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
15,sessions_per_charger,14464,0.9295308716559563,192,0.7479950221238938,-0.10327330553657882,1.354658667065682e-35,-0.1354770237919953,0.5900607337267123,0.5936583907064735,0.577238218142337,0.6099128445259115,0.12522395060425784,1.771476718470507e-35
15,usage_daytype_avg,14464,0.9295308716559563,361,0.7479950221238938,0.015851151892758247,0.0566092828904176,-0.021466582559068192,0.5142720390675806,0.5184537312960928,0.5044189916788937,0.5357410424650952,0.12866527726542643,0.060147363071068695
15,history_observed,205253,0.0,2,0.9281228532591485,-0.1920216569442055,0.0,-0.1920216569442056,0.5951378709753059,0.5808785763920361,0.5616813800044793,0.6014124461263193,0.012947297922869527,0.0
15,unobserved_rate,205253,0.0,127,0.9281228532591485,0.13430748268788853,0.0,0.13676840584853459,0.6174224960339932,0.617851445663011,0.60922168661164,0.6249559879481861,0.014875575198271207,0.0
30,horizon_minutes,179255,0.0,1,0.943560849069761,,,,,,,,,
30,available_count,179255,0.0,17,0.943560849069761,0.08408565521864954,1.4533865915713787e-278,0.08323322648712202,0.5963028724455508,0.5971580067180554,0.5761863188597123,0.6191042194074422,0.0068155030486252155,2.7452857840792706e-278
30,usable_count,179255,0.0,18,0.943560849069761,0.09555732900395228,0.0,0.10620680053080937,0.6167795720061446,0.6149436068331426,0.5848408489411436,0.6422724439763055,0.008572038882243449,0.0
30,known_charger_count,179255,0.0,17,0.943560849069761,0.09367348431748164,0.0,0.10494258313712432,0.6148075378516672,0.6146644711809808,0.5915771798650106,0.6334992614377787,0.009355071782553015,0.0
30,direct_observed_count,179255,0.0,16,0.943560849069761,0.1107154199534633,0.0,0.1267343656813728,0.6473297502992729,0.6485868093487148,0.6235520146527704,0.67209923396671,0.012309471315290033,0.0
30,total_chargers,179255,0.0,33,0.943560849069761,0.09126155375296974,0.0,0.1587052845067464,0.686348696880957,0.6819858192549654,0.6527894192278988,0.7014878345838849,0.016830907380617877,0.0
30,observation_coverage,179255,0.0,123,0.943560849069761,-0.09928505789894237,0.0,-0.10029234608844288,0.5898450526409854,0.5862281907391537,0.5715837053116465,0.6022383891710901,0.01484496090916032,0.0
30,direct_observation_coverage,179255,0.0,91,0.943560849069761,0.05362787833583683,2.750418252168107e-114,0.05441521699116681,0.5565702296153954,0.5619196849486214,0.5146720094081573,0.6085425403651541,0.014048777893128639,4.250646389714347e-114
30,observation_age_minutes,179255,0.0,451,0.943560849069761,-0.09111219875615217,0.0,-0.09253626279088377,0.582594940032889,0.5887173205919964,0.551004362799294,0.6280770822579994,0.0024831595277883256,0.0
30,available_count_delta_1tick,170235,0.0503193774232239,19,0.9445061238875672,-0.04714622412207509,2.2616513527407003e-84,-0.037544886373617525,0.5234650086916202,0.5159707619905878,0.5007303623922906,0.5410551952218429,0.005733657578687934,3.2040060830493254e-84
30,minutes_since_last_change,179255,0.0,18415,0.943560849069761,0.0812362472299331,4.3607969666492776e-260,0.1388877042812163,0.6735090281367193,0.6674969215383604,0.6412925867207222,0.7002230544208515,0.014563787552486884,7.413354843303771e-260
30,hour,179255,0.0,24,0.943560849069761,-0.02584704748059066,7.021108108538686e-28,-0.029950380490772324,0.5374283352699021,0.5289373350678162,0.5014356620072332,0.5879914945324389,0.004451246809430209,9.181449065012127e-28
30,weekday,179255,0.0,7,0.943560849069761,0.0026950602769491025,0.2538521701837697,0.0019808893440077997,0.5024442148280763,0.5004086905595342,0.5009793776202163,0.5503355061249797,0.00029017921138074776,0.2697179308202553
30,is_weekend,179255,0.0,2,0.943560849069761,-9.33624891984201e-05,0.9684694161820657,-9.33624891982611e-05,0.5000917466285357,0.5051086319941769,0.5004782610704541,0.5280616182235076,0.0009388353349346623,0.9684694161820658
30,sessions_per_charger,9290,0.9481743884410476,183,0.8354144241119483,-0.10846592064568933,1.0233857229487363e-25,-0.14611714727813402,0.6136830704814509,0.6147568930970311,0.5888166109880499,0.6441745773573451,0.10211187457410542,1.2426826635806083e-25
30,usage_daytype_avg,9290,0.9481743884410476,330,0.8354144241119483,-0.023913164306954036,0.021173222418030786,-0.06218634942113263,0.5484011848749204,0.5509784498788013,0.5344104448367294,0.5702732536321522,0.10901213659723297,0.02399631874043489
30,history_observed,179255,0.0,2,0.943560849069761,-0.10956329456157662,0.0,-0.10956329456157507,0.5526230751124122,0.5445995833808436,0.5185294663142765,0.5624530348268134,0.0032747714855188015,0.0
30,unobserved_rate,179255,0.0,123,0.943560849069761,0.09928505789894199,0.0,0.10029234608844288,0.5898450526409854,0.5862281907391537,0.5715837053116465,0.60223838917109,0.009053102886547482,0.0
