statId,as_of_ts,statNm,addr,lat,lng,coord_ok,total_chargers,available_count,observed_count,unobserved_count,availability_ratio_observed,unobserved_rate,has_confirmed_available,status_age_minutes,reliability_grade,observation_age_minutes,observation_grade,reliability_grade_effective,observation_state,is_operating_now,limitYn,access_restricted,name_suggests_residential,recommend_public_default,usage_level,sessions_per_charger,usage_weekday_avg,usage_weekend_avg,usage_charger_type,history_observed,eta_minutes,poi_count_1km,nearest_parking_m,parking_remaining_spaces,parking_total_spaces,parking_occupancy_rate,parking_congestion_status,parking_matched_id,parking_has_realtime,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h,parking_is_mock,parking_source,nearest_incident_m,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm,traffic_is_mock,traffic_source,source_status,schema_version
PW800921,2026-08-08T11:17:46+09:00,수성태영데시앙 입주자대표회의(SP),대구광역시 수성구 들안로 360,35.861277389,128.61947243,True,10,5,10,0,0.5,0.0,True,38.583333333333336,CHECK_REQUIRED,30.033333333333335,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,False,False,,,,,,False,,1,249.0,36.0,78.0,53.85,보통(점유 70%미만),155-1-000105,True,1.979486637221571,-5.0,7.0,False,team5_pis,,1550047703,181.7,22.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
PW800956,2026-08-08T11:17:46+09:00,롬바드아파트관리사무소24,대구광역시 수성구 들안로 325,35.858956912,128.61671919,True,5,3,4,1,0.75,0.2,True,1027.5833333333333,CHECK_REQUIRED,1025.0333333333333,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,2,184.6,,,,,155-1-000145,False,,,,False,team5_pis,839.7,1550045800,73.2,23.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
PW801040,2026-08-08T11:17:46+09:00,동대구우방아이유쉘입주자대표회의(SP),대구광역시 동구 송라로32길 32,35.880550788,128.61724504,True,3,1,3,0,0.3333333333333333,0.0,True,430.3833333333333,CHECK_REQUIRED,420.46666666666664,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,False,False,,,,,,False,,2,98.0,,,,,151-1-000012,False,,,,False,team5_pis,942.5,1510035000,192.5,31.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
PW801047,2026-08-08T11:17:46+09:00,이천주공1단지아파트(SP),대구광역시 남구 명덕로68길 77,35.852129127,128.60587667,True,6,2,5,1,0.4,0.16666666666666666,True,222.35,CHECK_REQUIRED,220.3,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,2,120.4,,,,,153-1-000050,False,,,,False,team5_pis,,1530022600,97.4,52.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
PW801051,2026-08-08T11:17:46+09:00,서대구센트럴자이아파트(SP),대구광역시 서구 고성로 33,35.886333347,128.57253602,True,20,11,20,0,0.55,0.0,True,2.35,HIGH,0.0,HIGH,HIGH,FRESH,Y,Y,True,True,False,,,,,,False,,1,138.6,,,,,152-1-000005,False,,,,False,team5_pis,,1520019100,171.5,25.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
PW801089,2026-08-08T11:17:46+09:00,신화빌라트 입주자대표회의(T),대구광역시 수성구 달구벌대로650길 29,35.835580064,128.70996601,True,6,6,6,0,1.0,0.0,True,146.43333333333334,CHECK_REQUIRED,140.18333333333334,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,False,False,,,,,,False,,0,144.7,,,,,155-1-000151,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
PW801097,2026-08-08T11:17:46+09:00,월드마크웨스트엔드입주자대표회의25(T),대구광역시 달서구 와룡로 169,35.8487323,128.5363891,True,30,15,30,0,0.5,0.0,True,6.35,NORMAL,0.0,HIGH,HIGH,FRESH,Y,Y,True,False,False,,,,,,False,,1,578.0,78.0,185.0,57.84,보통(점유 70%미만),156-2-000071,True,2.294625486315576,-6.0,7.0,False,team5_pis,937.7,1560087100,75.8,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
PW801098,2026-08-08T11:17:46+09:00,대실역리슈빌3단지입주자대표회의(SPT),대구광역시 달성군 다사읍 대실역남로 33,35.854429034,128.46662756,True,10,9,10,0,0.9,0.0,True,54.38333333333333,CHECK_REQUIRED,50.05,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,0,569.8,,,,,157-1-000072,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
PW801099,2026-08-08T11:17:46+09:00,협성휴포레 이시아폴리스 입주자대표회의(T),대구광역시 동구 팔공로 260,35.922860163,128.64177964,True,18,8,18,0,0.4444444444444444,0.0,True,6.35,NORMAL,0.0,HIGH,HIGH,FRESH,Y,Y,True,False,False,,,,,,False,,1,401.1,,,,,151-2-000029,False,,,,False,team5_pis,,1510056608,300.2,47.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
PW801105,2026-08-08T11:17:46+09:00,이천주공1단지입주자대표회의(T),대구광역시 남구 명덕로68길 77,35.852129127,128.60587667,True,3,3,3,0,1.0,0.0,True,42.4,CHECK_REQUIRED,40.05,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,2,120.4,,,,,153-1-000050,False,,,,False,team5_pis,,1530022600,97.4,52.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
