statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker,fetchedAt,complex_id,complex_name,match_verdict
대구 두류역서한포레스트,HY001928,22,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731132302,20260731131732,20260731132155,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,23,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260802211203,20260731132426,20260731132900,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,24,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731133501,20260731133008,20260731133420,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,25,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731134102,20260731133552,20260731134006,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
수성센트럴화성파크드림,TS272605,01,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260803104554,20260803074737,20260803104206,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,1,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,02,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260801092553,20260801014205,20260801092020,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,3,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,03,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260802005553,20260801152050,20260802005023,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,1,F,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,04,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260803021054,20260802225616,20260803020637,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,1,F,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,05,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260801181554,20260801131554,20260801181355,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,1,F,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,06,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260802201054,20260802152103,20260802200629,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,1,F,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,07,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260803122053,20260803112757,20260803121618,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,3,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,08,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260803072053,20260802201332,20260803071715,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,3,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,09,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260803102054,20260803081034,20260803101805,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,3,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,10,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260802181553,20260802130923,20260802181219,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,3,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,11,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260801013553,20260731192931,20260801013244,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,3,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,12,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260803005553,20260802174217,20260803005054,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,3,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
수성센트럴화성파크드림,TS272605,13,02,대구광역시 수성구 수성로 180,,"지하1층주차장,지하2층주차장,지하3층주차장",35.841303,128.612983,24시간 이용가능,TS,태성콘텍,주식회사 태성콘텍,1800-9188,2,20260731214055,20260731203822,20260731213740,,,7,단독,27,27260,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2025,3,B,,2026-08-03 12:40:41,APT2025-03,더센트럴화성파크드림,POSSIBLE_RELATED
