incidentId,incidenteTypeCd,incidenteSubTypeCd,addressJibun,addressJibunCd,addressNew,linkId,locationDataX,locationDataY,locationTypeCd,locationData,incidenteTrafficCd,incidenteGradeCd,incidentTitle,incTrafficCode,incidentRegionCd,startDate,endDate,lane,roadName,sourceCode,controlType,important,updateDate,traffic_source,fetchedAt,type_nm
L93170972903,2,2,대구 수성구 만촌동 889,2726010200,대구 수성구 달구벌대로 지하 2672,1550007201,128.64823321940293,35.85789566395144,C0101,,A0502,A0402,[공사] 달구벌대로 만촌네거리 에서 만촌동889 방향 1차로 지하 시설 작업 주의운전,A0502,29,2026년 07월 21일  11시 18분,2026년 07월 21일  17시 48분,1차로,달구벌대로,P000,0,0,2026년 07월 21일  11시 36분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170969815,2,255,대구 남구 봉덕동 1617-1,2720010200,대구 남구 신천서쪽자전거길 85,1530035801,128.60750488243585,35.82742155390636,C0101,,A0502,A0402,[공사] 신천서쪽자전거길 지진옥외대피소 에서 대영가스 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 21일  10시 17분,2026년 07월 21일  20시 00분,1차로,신천서쪽자전거길,P000,0,0,2026년 07월 21일  10시 19분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170968575,2,255,대구 남구 봉덕동 1581-47,2720010200,대구 남구 용두길 21,1530036301,128.6050287,35.8340149,C0101,,A0502,A0402,[공사] 상동교 하상도로 한국뇌기능개발센터 에서 화성양로원 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 21일  09시 50분,2026년 07월 21일  20시 00분,1차로,상동교 하상도로,P000,0,0,2026년 07월 21일  09시 50분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170964652,2,4,대구 동구 지묘동 산 101-7,2714014500,대구 동구 파계로 126,1510055702,128.6370892,35.9448909,C0101,,A0502,A0402,[공사] 파계로 가좌삼거리 에서 파계교 방향 2차로 하수도/배수로 작업 주의운전,A0502,29,2026년 07월 21일  08시 19분,2026년 07월 21일  18시 00분,2차로,파계로,P000,0,0,2026년 07월 21일  08시 23분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170960605,2,6,대구 중구 북성로1가 96-2,2711015000,대구 중구 북성로 80-1,1500032900,128.5910986,35.8741054,C0101,,A0502,A0402,[공사] 북성로 대안천주교회앞 에서 NH농협은행북성로지점 방향 1차로 유지보수 주의운전,A0502,29,2026년 07월 21일  06시 18분,2026년 07월 21일  17시 48분,1차로,북성로,P000,0,0,2026년 07월 21일  07시 06분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170951343,2,2,대구 남구 대명동 2321-1,2720010300,대구 남구 명덕로 58-2,1500003001,128.5913639906172,35.856826812307055,C0101,,A0502,A0402,[공사] 명덕로 명덕네거리 에서 이천동713 방향 4차로 지하 시설 작업 주의운전,A0502,29,2026년 07월 21일  00시 12분,2026년 07월 21일  18시 42분,4차로,명덕로,P000,0,0,2026년 07월 21일  07시 14분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170987735,2,255,대구 서구 내당동 341-1,2717010100,대구 서구 서대구로 60,1520025700,128.5565081,35.8635376,C0101,,A0502,A0402,[공사] 평리로 남평리네거리 에서 평강약국 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 21일  15시 59분,2026년 07월 21일  18시 29분,1차로,평리로,P000,0,0,2026년 07월 21일  16시 00분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170986438,2,13,대구 달서구 대천동 938-3,2729011900,대구 달서구 조암남로32길 22,1560454600,128.5159812,35.818302,C0101,,A0502,A0402,[공사] 조암남로32길 대구한샘초등학교 에서 유천동46 방향 2차로 노변 유지보수 주의운전,A0502,29,2026년 07월 21일  15시 28분,2026년 07월 21일  17시 58분,2차로,조암남로32길,P000,0,0,2026년 07월 21일  15시 33분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170983009,2,255,대구 중구 남산동 2321,2711015600,대구 중구 남산로 2,1500004400,128.5901029,35.8570057,C0101,,A0502,A0402,[공사] 명덕로 명덕네거리 에서 남산동2321 방향 3차로 도로공사 주의운전,A0502,29,2026년 07월 21일  14시 21분,2026년 07월 21일  20시 00분,3차로,명덕로,P000,0,0,2026년 07월 21일  14시 23분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170967117,2,13,대구 남구 대명동 1683-15,2720010300,대구 남구 대명로 213,1530011602,128.580403,35.8408154,C0101,,A0502,A0402,[공사] 대명로 캠프워크교차로 에서 앞산네거리 방향 4차로 노변 유지보수 주의운전,A0502,29,2026년 07월 21일  09시 17분,2026년 07월 21일  17시 47분,4차로,대명로,P000,0,0,2026년 07월 21일  09시 19분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
