statId,statNm,addr,lat,lng,chargers,parkingFree_Y,parkingFree_N,parkingFree_mode
PW014669,삼정그린빌입주자대표회의23,대구광역시 달서구 야외음악당로39길 54,35.8541512,128.5543396,4,4,0,Y
PW014688,이안센트럴D 입주자대표회의(SP),대구광역시 동구 동대구로 577,35.8808525,128.6235554,8,8,0,Y
PW014759,월드마크웨스트엔드입주자대표회의,대구광역시 달서구 와룡로 169,35.848732309,128.53638907,15,15,0,Y
PW014834,안심역삼정그린코아더베스트입주자대표회의,대구광역시 동구 반야월북로 355,35.873661186,128.73729905,15,15,0,Y
PW014855,신서청구타운(SP),대구광역시 동구 반야월북로55길 19,35.874268392,128.72712615,3,3,0,Y
PW014856,금강진우타운(SP),대구광역시 동구 반야월북로 175,35.873347222,128.71743349,2,2,0,Y
PW014857,대구동호상록아파트/공무원연금공단(SP),대구광역시 동구 동호로 47,35.865176808,128.72181400,6,6,0,Y
PW014859,롬바드아파트관리사무소(SP),대구광역시 수성구 들안로 325,35.858956912,128.61671919,5,5,0,Y
PW014869,학교법인 계명대학교(동행빌딩),대구광역시 달서구 달구벌대로 1019,35.853426699,128.47889362,1,1,0,Y
PW014874,옥포세광무지개마을,대구광역시 달성군 옥포읍 본리로 102,35.794612652,128.45452442,5,5,0,Y
PW014882,강창태성그린시티입주자대표회의,대구광역시 달성군 다사읍 죽곡2길 6,35.857049298,128.46182558,11,11,0,Y
PW014914,보성청록아파트(SP),대구광역시 남구 큰골길 200,35.834778568,128.58532225,5,5,0,Y
PW014929,성서주공7단지(SP),대구광역시 달서구 성지로 12,35.852621041,128.51763163,2,2,0,Y
PW014946,시지대백 신화창신맨션23,대구광역시 수성구 고산로 90,35.837675994,128.70441776,9,9,0,Y
PW014973,봄모텔(SP),대구광역시 동구 반야월로 7,35.874418415,128.68910058,2,2,0,Y
PW015039,강북컨벤션웨딩(SP),대구광역시 북구 칠곡중앙대로 59,35.901369713,128.54655575,6,6,0,Y
PW015040,주식회사 뉴대구스포츠센터(SP),대구광역시 서구 서대구로 45,35.862021742,128.55600183,3,3,0,Y
PW015041,(주)달구벌종합수산축산(웨딩비엔나)(SP),대구광역시 달서구 달구벌대로 1846,35.860266567,128.56687925,4,4,0,Y
PW015042,주식회사 초이스골프(SP),대구광역시 서구 북비산로 193-14,35.880020269,128.55440945,3,3,0,Y
PW015051,대구역 SD아이프라임/(주)목성엔지니어링(SP),대구광역시 북구 칠성남로30길 40,35.8759762,128.5990953,3,3,0,Y
PW015054,만촌역서한포레스트관리위원회,대구광역시 수성구 달구벌대로 2606,35.857873745,128.64743982,16,16,0,Y
PW015055,만촌역서한포레스트관리위원회(SP),대구광역시 수성구 달구벌대로 2606,35.857873745,128.64743982,4,4,0,Y
PW015062,테크노폴리스 남해오네뜨2차 관리사무소,대구광역시 달성군 유가읍 테크노대로5길 57,35.694894872,128.46439798,21,21,0,Y
PW015079,보성청록아파트 입주자대표회의,대구광역시 남구 큰골길 200,35.834778568,128.58532225,8,8,0,Y
PW015080,세광그린관리사무소,대구광역시 남구 현충로26길 67,35.844283639,128.58368036,3,3,0,Y
PW015094,신서청구타운입주자대표회의,대구광역시 동구 반야월북로55길 19,35.874268392,128.72712615,5,5,0,Y
PW015100,히스토리(SP),대구광역시 남구 대경길 270,35.848769908,128.57681634,2,2,0,Y
PW015101,대곡역화성타운(SP),대구광역시 달서구 비슬로 2731,35.810386005,128.51360637,2,2,0,Y
PW015121,연경금성백조예미지숲속의아침 입주자대표회의(SP),대구광역시 북구 연경중앙로 11,35.943416440,128.61523649,9,9,0,Y
PW015127,우방송현하이츠관리사무소23,대구광역시 달서구 학산남로 90,35.824327379,128.54228551,21,21,0,Y
PW015130,수성대림E편한세상 입주자대표회의(SP),대구광역시 수성구 들안로73길 50-7,35.864562910,128.61488386,10,10,0,Y
