pkltId,pkltNm,lat,lng,roadNmAddr,lotnoAddr,유료무료,요금수준,일반1시간요금,일반1일요금,결제수단,collected_at
152-1-000111,제일고등학교 서측,35.871151,128.572885,,대구광역시 서구 비산동 258-11,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000112,중리중학교 동측,35.863178,128.551984,,대구광역시 서구 중리동 113-1,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000113,진달래2차아파트 북측,35.86867,128.552021,,대구광역시 서구 중리동 42-1,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000114,코오롱맨션아파트 주변,35.860129,128.547412,,대구광역시 서구 내당동 339,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000115,퀸스로드,35.862368,128.54328,,대구광역시 서구 중리동 1134,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000116,통학로,35.87611,128.563535,,대구광역시 서구 평리동 856-7,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000117,통학로 16길,35.86768,128.569184,,대구광역시 서구 비산동 291-18,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000118,통학로 49길,35.881398,128.561421,,대구광역시 서구 비산동 802-4,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000119,통학로 50길,35.883145,128.566491,,대구광역시 서구 비산동 742-1,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000120,통학로 51길,35.882894,128.56339,,대구광역시 서구 비산동 761-7,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000121,트리니티교회 남측,35.858294,128.549659,,대구광역시 서구 내당동 463-1,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000122,평리 금오아파트 남측,35.86698,128.558275,,대구광역시 서구 평리동 1320-10,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000123,평리 금오아파트 서측,35.866918,128.556344,,대구광역시 서구 평리동 1367-8,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000124,대구학생예술창작터 남측,35.877424,128.553478,,대구광역시 서구 평리동 614-27,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000125,평리광명맨션 주변,35.876827,128.55376,,대구광역시 서구 평리동 619-1,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000126,평리동 롯데캐슬,35.871153,128.565387,,대구광역시 서구 평리동 1126-27,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000127,평리동서3차아파트 남측,35.865435,128.559136,,대구광역시 서구 평리동 1313-2,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000128,평리동서3차아파트 북측,35.865781,128.556878,,대구광역시 서구 평리동 1353-2,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000129,평리로 35길(1),35.867722,128.543378,,대구광역시 서구 중리동 1081,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000130,평리로 35길(2),35.864909,128.54333,,대구광역시 서구 중리동 1104,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000131,평리로55길,35.866262,128.55351,,대구광역시 서구 평리동 1436-8,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000132,평리청구타운아파트 서측,35.86448,128.554582,,대구광역시 서구 평리동 1439-1,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000133,평리푸르지오 2단지 아파트 주변,35.867779,128.559986,,대구광역시 서구 평리동 1224-26,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000134,평리푸르지오 3단지 아파트 주변,35.869071,128.557479,,대구광역시 서구 평리동 1341-10,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000135,평산교회 서측,35.878285,128.568181,,대구광역시 서구 비산동 541-7,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000136,폴리텍6대학 주변,35.872382,128.553882,,대구광역시 서구 평리동 1521-1,무료,일반주차장,,,,2026-08-03 12:10:21
