pkltId,pkltNm,lat,lng,roadNmAddr,유료무료
151-1-000018,동대구로2 공영주차장,35.87275,128.625806,,유료
151-1-000020,동대구반도유보라 아파트 (남),35.875605,128.618755,,무료
151-1-000021,동대구반도유보라 아파트 (동),35.876458,128.620041,,무료
151-1-000022,동대구반도유보라 아파트 (서),35.875773,128.617191,,무료
151-1-000023,동대구아이유쉘 아파트 앞,35.880483,128.618382,,무료
151-1-000024,동대구초등서편 공영주차장,35.880674,128.619194,,유료
151-1-000025,동부로28길,35.874856,128.628349,,무료
151-1-000026,동부로30길 (1),35.867534,128.628687,,무료
151-1-000027,동부로30길 (2),35.8695,128.628253,,유료
151-1-000028,동부로30길 (3),35.869653,128.62828,,유료
151-1-000029,동부로32길 (1),35.872894,128.629734,,무료
151-1-000030,동부로32길 (2),35.876655,128.630293,,무료
151-1-000031,동부로34길 (1),35.8736,128.633693,,무료
151-1-000032,동부로34길 (2),35.873017,128.633629,,무료
151-1-000033,동서식품 공영주차장,35.87249428,128.62659765,,유료
151-1-000034,동서타운2차 아파트 앞,35.887512,128.635035,,무료
151-1-000035,동원빌딩앞 공영주차장,35.874664,128.626986,,유료
151-1-000036,동촌로10길,35.888214,128.648476,,무료
151-1-000037,동촌로14길,35.887578,128.649948,,무료
151-1-000038,동촌로24길,35.885441,128.654839,,무료
151-1-000039,동촌로25길,35.886525,128.656629,,무료
151-1-000040,동촌로25길 (1),35.886023,128.65618,,무료
151-1-000041,동촌로25길 (2),35.886039,128.657089,,무료
151-1-000042,동촌로25길 (3),35.884105,128.6608,,무료
151-1-000043,동촌로42길,35.881273,128.662067,,무료
151-1-000044,동촌로46길,35.879134,128.66469,,무료
151-1-000045,동촌로56길 (1),35.877828,128.66903,,무료
151-1-000046,동촌로56길 (2),35.877876,128.670091,,무료
151-1-000047,동촌로56길 (3),35.877485,128.671158,,무료
151-1-000048,동촌로5길,35.890534,128.646797,,무료
151-1-000049,동촌로8길,35.889021,128.647007,,무료
151-1-000050,동촌역사로 (동),35.887769,128.652778,,무료
151-1-000051,동촌역사로 (서),35.887941,128.652586,,무료
151-1-000052,동촌역사로4길,35.886985,128.656361,,무료
151-1-000053,동호정형외과앞 공영주차장,35.86706,128.724258,,유료
151-1-000054,리첼아파트 앞,35.879141,128.667413,,무료
151-1-000055,무궁화 아파트 앞,35.881034,128.663728,,무료
151-1-000056,반야월로14길,35.871205,128.69607,,무료
151-1-000057,반야월로24길,35.872815,128.700542,,무료
151-1-000058,방천로 (1),35.899864,128.632796,,무료
151-1-000059,방천로 (2),35.898817,128.634163,,무료
151-1-000060,방천로 (3),35.898005,128.636491,,무료
151-1-000061,방천로 1길,35.895307,128.633499,,무료
151-1-000062,방촌동 813-49 노상주차장,35.882854,128.670901,,무료
