pklt_id,observations,occupancy_rate_mean,occupancy_rate_median,remaining_spaces_mean
154-2-000051,977,44.1024462640737,46.46,55.33879222108495
152-2-000045,977,43.12949846468782,34.33,38.10440122824974
154-4-000012,977,42.93442169907881,33.79,661.9600818833163
156-2-000071,977,41.29927328556806,36.76,108.59672466734902
156-4-000012,977,40.134268167860796,30.9,377.7553735926305
156-2-000029,977,39.53786079836233,28.57,33.85875127942682
156-2-000086,977,38.44147389969294,32.39,43.707267144319346
156-2-000031,977,38.429836233367446,29.03,171.7799385875128
154-2-000033,977,37.17359263050153,36.47,53.40532241555783
153-2-000009,977,36.69635619242579,36.62,44.94575230296827
155-4-000030,977,35.876407369498466,29.75,256.49437052200614
155-3-000008,977,35.598771750255885,30.0,25.760491299897645
156-2-000055,977,35.23084953940635,35.62,47.283520982599796
156-2-000030,977,35.03318321392016,29.31,37.68065506653019
152-2-000047,977,34.98809621289662,30.21,62.41044012282497
156-2-000080,977,34.01332650972364,28.92,219.0747185261003
152-2-000051,977,33.11875127942682,31.4,80.92630501535312
155-2-000053,977,32.87751279426817,33.07,85.24564994882293
151-2-000008,977,32.799467758444216,23.33,40.320368474923235
155-3-000005,977,32.25305015353122,16.98,35.905834186284544
154-2-000034,977,32.21125895598772,19.15,31.860798362333675
154-2-000035,977,31.97168884339816,21.8,271.43295803480044
154-2-000055,977,28.022558853633573,19.23,37.42784032753327
154-1-000153,977,27.942681678607983,20.0,14.411463664278402
150-2-000017,977,27.536816786079836,2.12,376.81269191402254
156-2-000081,977,25.5100307062436,18.04,144.510747185261
154-1-000091,977,25.01061412487206,16.67,8.99897645854657
154-1-000104,977,24.653817809621287,22.58,23.357215967246674
156-1-000106,977,24.543602865916068,24.11,316.16888433981575
154-1-000117,977,24.101647901740023,23.53,25.805527123848517
155-2-000016,977,23.507676560900716,14.07,153.19959058341863
154-2-000039,977,22.186315250767656,15.62,74.70112589559878
154-1-000303,977,21.713664278403275,17.02,73.58955987717502
155-2-000046,977,21.221586489252818,13.43,52.78198567041965
156-3-000002,977,20.99896622313204,20.53,119.29273285568065
156-4-000015,977,20.671105424769703,7.76,1032.863868986694
151-2-000045,977,20.29505629477994,14.52,98.83418628454453
151-2-000001,977,19.847093142272264,11.11,36.06857727737973
151-2-000003,977,19.13133060388946,18.18,124.53633572159673
154-1-000006,977,17.94833162743091,14.29,22.97441146366428
151-2-000002,977,17.581238485158647,17.39,56.86796315250768
154-1-000007,977,17.453326509723645,11.11,22.28761514841351
156-2-000089,977,13.8160593654043,11.54,67.22415557830092
151-2-000005,977,13.372067553735926,1.71,151.59774820880244
154-2-000040,977,12.284094165813714,13.64,19.354145342886387
154-1-000154,977,11.513766632548617,7.14,12.38792221084954
155-2-000063,977,10.859293756397134,8.57,93.59774820880246
154-1-000298,977,10.0,10.0,9.0
154-1-000250,977,9.964974411463665,2.63,34.2128966223132
154-1-000234,977,8.257932446264073,4.0,22.93551688843398
154-1-000248,977,7.887287615148414,5.88,62.635619242579324
156-1-000109,977,7.534063459570112,8.57,64.72569089048106
156-1-000105,977,6.405148413510747,6.35,117.93039918116683
154-2-000019,538,5.88,5.88,31.940520446096656
154-1-000038,977,4.0,4.0,24.0
152-2-000020,538,3.57,3.57,53.899628252788105
155-2-000065,977,0.954042988741044,0.0,94.09314227226203
154-1-000249,977,0.0,0.0,31.0
154-1-000297,977,0.0,0.0,12.0
156-2-000105,977,,,0.0
