statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m,complex_id,complex_name,cohort
HY000506,대구 칠곡한서타운,대구광역시 북구 동암로7길 39,35.9498722,128.5561098,01,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.9498722,128.5561098,405.2122563155811,APT2025-05,화성파크드림구수산공원,2025
CV000977,포르쉐 데스티네이션 홈플러스 칠곡점,대구광역시 북구 동암로12길 8,35.9447903,128.5555301,01,02,7,10:00~22:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.9447903,128.5555301,474.77667983444525,APT2025-05,화성파크드림구수산공원,2025
EV006886,대구북구 칠곡3차보성타운,대구광역시 북구 칠곡중앙대로126길 7-12,35.951335628,128.55583097,03,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.951335628,128.55583097,487.9030733057484,APT2025-05,화성파크드림구수산공원,2025
DC530017,강북태왕아너스더퍼스,대구광역시 북구 칠곡중앙대로110길 10,35.943697061,128.55246193,01,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.943697061,128.55246193,489.1387481741622,APT2025-05,화성파크드림구수산공원,2025
KP002192,홈플러스 칠곡점,대구광역시 북구 동암로12길 8,35.9448492727,128.5559675379,01,06,,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.9448492727,128.5559675379,495.9055234086702,APT2025-05,화성파크드림구수산공원,2025
CV000976,홈플러스 칠곡점,대구광역시 북구 동암로12길 8,35.944825,128.55597,14,08,30,10:00~22:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.944825,128.55597,498.0220565486615,APT2025-05,화성파크드림구수산공원,2025
KP003790,칠곡홈플러스(추가분),대구광역시 북구 동암로12길 8,35.944876238423,128.5560423157,01,04,50,09:00~18:00,한국전력,N,N,2026-07-25T20:38:50+09:00,35.944876238423,128.5560423157,498.3992019653059,APT2025-05,화성파크드림구수산공원,2025
CV000809,대구시_칠성동,대구광역시 북구 칠성로19길 4,35.879194,128.599966,01,06,100,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.879194,128.599966,105.10611379105337,APT2025-06,빌리브루센트,2025
HM001029,대구역서원프레시빌,대구광역시 북구 칠성남로 176,35.8766044,128.5991137,02,02,7,24시간 이용가능,휴맥스이브이,Y,N,2026-07-25T20:38:50+09:00,35.8766044,128.5991137,205.067586443579,APT2025-06,빌리브루센트,2025
PW015051,대구역 SD아이프라임/(주)목성엔지니어링(SP),대구광역시 북구 칠성남로30길 40,35.8759762,128.5990953,01,02,7,24시간 이용가능,파워큐브(SP),Y,N,2026-07-25T20:38:50+09:00,35.8759762,128.5990953,274.90220604357324,APT2025-06,빌리브루센트,2025
EP220738,대구 뉴그랜드호텔,대구광역시 북구 칠성남로38길 46,35.8761014,128.59781687,01,02,7,24시간 이용가능,이카플러그,Y,N,2026-07-25T20:38:50+09:00,35.8761014,128.59781687,291.0100163362364,APT2025-06,빌리브루센트,2025
KP003224,오페라코오롱하늘채,대구광역시 북구 칠성동2가 중앙대로 540,35.880958,128.59745,02,02,7,,한국전기차충전서비스,Y,N,2026-07-25T20:38:50+09:00,35.880958,128.59745,323.2633157983169,APT2025-06,빌리브루센트,2025
CV001592,칠성공영주차장,대구광역시 북구 칠성남로 196,35.87611,128.60166099,03,04,100,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.87611,128.60166099,338.29244421989705,APT2025-06,빌리브루센트,2025
IN053057,오페라코오롱하늘채,대구광역시 북구 중앙대로 540,35.881,128.597,02,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.881,128.597,349.22081782386596,APT2025-06,빌리브루센트,2025
PIS00580,대구 북구 오페라코오롱하늘채,대구광역시 북구 중앙대로 540,35.881,128.597,01,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.881,128.597,349.22081782386596,APT2025-06,빌리브루센트,2025
KP000230,롯데역사(주) 대구점,대구광역시 북구 태평로 161,35.87570569559,128.5968015716,01,06,50,주중/주말 : 24시간,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.87570569559,128.5968015716,376.3208792065825,APT2025-06,빌리브루센트,2025
NT100021,대구 오페라클레시아 오피스텔,대구광역시 북구 중앙대로 513,35.8790937,128.594754,05,02,7,24시간 이용가능,NICE인프라,N,N,2026-07-25T20:38:50+09:00,35.8790937,128.594754,411.8174631319307,APT2025-06,빌리브루센트,2025
CV004108,농협경제지주 대구태평로공판장,대구광역시 중구 태평로 195,35.87467377,128.59964884,01,02,7,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.87467377,128.59964884,420.85748371989337,APT2025-06,빌리브루센트,2025
EV008877,대구중구 라이프아파트,대구광역시 중구 태평로 177,35.87486539,128.59764777,02,02,7,24시간 이용가능,에버온,N,N,2026-07-25T20:38:50+09:00,35.87486539,128.59764777,423.5437894998515,APT2025-06,빌리브루센트,2025
JA270006,롯데백화점 대구점 지상 4층,대구광역시 중구 태평로 160,35.8754831,128.5962573,09,04,30,10:00 ~ 21:00,이브이시스,N,N,2026-07-25T20:38:50+09:00,35.8754831,128.5962573,425.89518743890125,APT2025-06,빌리브루센트,2025
JA270007,롯데백화점 대구점 지상 3층,대구광역시 중구 태평로 160,35.8754317,128.5962314,01,04,30,10:00 ~ 21:00,이브이시스,N,N,2026-07-25T20:38:50+09:00,35.8754317,128.5962314,431.79847577188815,APT2025-06,빌리브루센트,2025
HM001672,우방플러스빌,대구광역시 북구 중앙대로105길 17,35.8803793,128.5944033,01,02,7,24시간 이용가능,휴맥스이브이,Y,N,2026-07-25T20:38:50+09:00,35.8803793,128.5944033,487.0996403610938,APT2025-06,빌리브루센트,2025
EV017808,대구북구 대현e-편한세상 1,대구광역시 북구 대현로10길 82,35.8808524,128.6038144,02,02,7,24시간 이용가능,에버온,N,N,2026-07-25T20:38:50+09:00,35.8808524,128.6038144,490.360674695008,APT2025-06,빌리브루센트,2025
EV017809,대구북구 대현e-편한세상 2,대구광역시 북구 대현로10길 82,35.8809524,128.60375,01,02,7,24시간 이용가능,에버온,N,N,2026-07-25T20:38:50+09:00,35.8809524,128.60375,491.727493613819,APT2025-06,빌리브루센트,2025
CV000809,대구시_칠성동,대구광역시 북구 칠성로19길 4,35.879194,128.599966,01,06,100,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.879194,128.599966,105.10611379105337,APT2025-07,대구역자이더스타,2025
HM001029,대구역서원프레시빌,대구광역시 북구 칠성남로 176,35.8766044,128.5991137,02,02,7,24시간 이용가능,휴맥스이브이,Y,N,2026-07-25T20:38:50+09:00,35.8766044,128.5991137,205.067586443579,APT2025-07,대구역자이더스타,2025
PW015051,대구역 SD아이프라임/(주)목성엔지니어링(SP),대구광역시 북구 칠성남로30길 40,35.8759762,128.5990953,01,02,7,24시간 이용가능,파워큐브(SP),Y,N,2026-07-25T20:38:50+09:00,35.8759762,128.5990953,274.90220604357324,APT2025-07,대구역자이더스타,2025
EP220738,대구 뉴그랜드호텔,대구광역시 북구 칠성남로38길 46,35.8761014,128.59781687,01,02,7,24시간 이용가능,이카플러그,Y,N,2026-07-25T20:38:50+09:00,35.8761014,128.59781687,291.0100163362364,APT2025-07,대구역자이더스타,2025
