matched_id,parking_name,parking_addr,parking_type,parking_spaces,statId,charger_name,charger_addr,limitYn,distance_m,name_match,address_number_match,evidence_grade,evidence
155-1-000105,범어천로 1,대구광역시 수성구 수성동4가 1005,공영,78,HY001851,대구 범어삼환나우빌,대구광역시 수성구 범어천로 197,Y,71.1,False,False,NEARBY_ONLY,좌표 거리 71.1m · 거리만 가까움: 현장/주소 검토 필요
155-2-000081,임시공영44,대구광역시 수성구 시지동 596,공영,15,LU002303,수성알파시티동화아이위시,대구광역시 수성구 알파시티2로 48,Y,71.1,False,False,NEARBY_ONLY,좌표 거리 71.1m · 거리만 가까움: 현장/주소 검토 필요
153-1-000020,대덕로 (2),대구광역시 남구 봉덕동 1630,공영,16,TS272001,앞산힐스테이트,대구광역시 남구 대덕로 166,Y,71.1,False,False,NEARBY_ONLY,좌표 거리 71.1m · 거리만 가까움: 현장/주소 검토 필요
154-1-000161,산격보성아파트북측,대구광역시 북구 산격동 500-138,공영,21,AH000052,대구 산격보성아파트 (대성),대구광역시 북구 동북로37길 13-10,Y,71.2,False,False,NEARBY_ONLY,좌표 거리 71.2m · 거리만 가까움: 현장/주소 검토 필요
151-1-000025,동부로28길,대구광역시 동구 신천동 334-11,공영,20,LU101255,대구부띠끄시티테라스3차오피스텔,대구광역시 동구 동부로26길 5,N,71.3,False,False,NEARBY_ONLY,좌표 거리 71.3m · 거리만 가까움: 현장/주소 검토 필요
157-1-000129,천내우방맨션 북편,대구광역시 달성군 화원읍 천내리 122,공영,19,PI730462,화원창신맨션,대구광역시 달성군 화원읍 화원로 36,N,71.4,False,False,NEARBY_ONLY,좌표 거리 71.4m · 거리만 가까움: 현장/주소 검토 필요
154-1-000137,동서리치모아동측,대구광역시 북구 서변동 1771,공영,25,PI740674,동서리치모아111동,대구광역시 북구 서변로 88,N,71.6,False,False,NEARBY_ONLY,좌표 거리 71.6m · 거리만 가까움: 현장/주소 검토 필요
154-1-000229,칠곡중앙대로54길,대구광역시 북구 태전동 423-1,공영,43,EV003741,강북화성파크드림1,대구광역시 북구 칠곡중앙대로 312,N,71.7,False,False,NEARBY_ONLY,좌표 거리 71.7m · 거리만 가까움: 현장/주소 검토 필요
151-2-000067,신암동 614-22 공한지 주차장,대구광역시 동구 신암동 614-22,공영,14,EV007739,대구광역시 신암보성1차타운,대구광역시 동구 큰고개로 23,Y,71.7,False,False,NEARBY_ONLY,좌표 거리 71.7m · 거리만 가까움: 현장/주소 검토 필요
150-1-000145,경북의과대학 주변 노상유료,대구광역시 중구 동인동2가 236-2,공영,10,PW801191,동인삼정그린코아 관리사무소(SP),대구광역시 중구 동덕로30길 53,Y,71.7,False,False,NEARBY_ONLY,좌표 거리 71.7m · 거리만 가까움: 현장/주소 검토 필요
151-1-000088,신암청아람 (남서),대구광역시 동구 신암동 480,공영,9,TS271404,대구신암청아람아파트,대구광역시 동구 신암로20길 39,Y,71.7,False,False,NEARBY_ONLY,좌표 거리 71.7m · 거리만 가까움: 현장/주소 검토 필요
152-1-000126,평리동 롯데캐슬,대구광역시 서구 평리동 1126-27,공영,22,EV014536,대구서구 평리롯데캐슬아파트 7,"대구광역시 서구 국채보상로 316 (평리동, 평리롯데캐슬)",Y,72.2,False,False,NEARBY_ONLY,좌표 거리 72.2m · 거리만 가까움: 현장/주소 검토 필요
156-1-000096,월암중학교 남편,대구광역시 달서구 월성동 777-2,공영,24,PI530079,대구시 달서구 신월성미소지움,대구광역시 달서구 조암로 32,Y,72.2,False,False,NEARBY_ONLY,좌표 거리 72.2m · 거리만 가까움: 현장/주소 검토 필요
155-1-000186,청수로34길 1,대구광역시 수성구 지산동 946-2,공영,3,GS000058,황금캐슬주유소,대구광역시 수성구 청수로 172,N,72.4,False,False,NEARBY_ONLY,좌표 거리 72.4m · 거리만 가까움: 현장/주소 검토 필요
154-1-000006,3공단로1 공영주차장,대구광역시 북구 노원동3가 252-3,공영,30,IN053010,한국로봇산업진흥원,대구광역시 북구 노원로 77,N,72.4,False,False,NEARBY_ONLY,좌표 거리 72.4m · 거리만 가까움: 현장/주소 검토 필요
152-1-000126,평리동 롯데캐슬,대구광역시 서구 평리동 1126-27,공영,22,EV014533,대구서구 평리롯데캐슬아파트 4,"대구광역시 서구 국채보상로 316 (평리동, 평리롯데캐슬)",Y,72.6,False,False,NEARBY_ONLY,좌표 거리 72.6m · 거리만 가까움: 현장/주소 검토 필요
156-1-000008,달구벌대로378길(2),대구광역시 달서구 두류동 798-8,공영,16,PI530050,대구시 달서구  레드모터스,대구광역시 달서구 파도고개로 92,N,72.7,False,False,NEARBY_ONLY,좌표 거리 72.7m · 거리만 가까움: 현장/주소 검토 필요
152-1-000126,평리동 롯데캐슬,대구광역시 서구 평리동 1126-27,공영,22,EV014530,대구서구 평리롯데캐슬아파트 1,"대구광역시 서구 국채보상로 316 (평리동, 평리롯데캐슬)",Y,72.8,False,False,NEARBY_ONLY,좌표 거리 72.8m · 거리만 가까움: 현장/주소 검토 필요
151-1-000025,동부로28길,대구광역시 동구 신천동 334-11,공영,20,PC000330,대구 메리어트호텔,대구광역시 동구 동부로26길 6,N,73.0,False,False,NEARBY_ONLY,좌표 거리 73.0m · 거리만 가까움: 현장/주소 검토 필요
156-1-000054,성서공단로54길 (1),대구광역시 달서구 월암동 1013,공영,34,CV000154,대구자동차경매장(후문),대구광역시 달서구 성서공단로54길 8,N,73.1,False,False,NEARBY_ONLY,좌표 거리 73.1m · 거리만 가까움: 현장/주소 검토 필요
152-1-000114,코오롱맨션아파트 주변,대구광역시 서구 내당동 339,공영,19,EV013465,대구서구 삼익뉴타운 1,대구광역시 서구 평리로 236,Y,73.1,False,False,NEARBY_ONLY,좌표 거리 73.1m · 거리만 가까움: 현장/주소 검토 필요
154-1-000180,연암공원로10길,대구광역시 북구 산격동 1436-2,공영,24,CV003069,대구시_대구체육관,대구광역시 북구 대구체육관로 39,N,73.3,False,False,NEARBY_ONLY,좌표 거리 73.3m · 거리만 가까움: 현장/주소 검토 필요
152-1-000126,평리동 롯데캐슬,대구광역시 서구 평리동 1126-27,공영,22,EV014534,대구서구 평리롯데캐슬아파트 5,"대구광역시 서구 국채보상로 316 (평리동, 평리롯데캐슬)",Y,73.3,False,False,NEARBY_ONLY,좌표 거리 73.3m · 거리만 가까움: 현장/주소 검토 필요
150-1-000150,삼덕네거리 남편 노상유료,대구광역시 중구 동덕로 80,공영,62,PL032140,대구 중구 대봉태왕아너스아파트,대구 중구 동덕로 55,Y,73.4,False,False,NEARBY_ONLY,좌표 거리 73.4m · 거리만 가까움: 현장/주소 검토 필요
150-1-000150,삼덕네거리 남편 노상유료,대구광역시 중구 동덕로 80,공영,62,PW100068,대봉태왕아너스아파트,대구광역시 중구 동덕로 55,Y,73.4,False,False,NEARBY_ONLY,좌표 거리 73.4m · 거리만 가까움: 현장/주소 검토 필요
152-1-000113,진달래2차아파트 북측,대구광역시 서구 중리동 42-1,공영,36,PI530288,대구시 서구 중리진달래2차,대구광역시 서구 국채보상로38길 22,Y,73.6,False,False,NEARBY_ONLY,좌표 거리 73.6m · 거리만 가까움: 현장/주소 검토 필요
154-1-000227,칠곡중앙대로(1),대구광역시 북구 읍내동 944-3,공영,23,CV002633,티스테이션 대구강북점,대구광역시 북구 읍내동 784-6,N,73.9,False,False,NEARBY_ONLY,좌표 거리 73.9m · 거리만 가까움: 현장/주소 검토 필요
